trait_type	phecode	Domain	wget	filename	n_cases_EUR	n_controls_EUR
categorical	20002_1075	Cardiovascular disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1075.tsv.bgz	categorical-20002-both_sexes-1075.tsv.bgz	9743	410730.0
phecode	300_1	Psychiatric disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-300.1-both_sexes.tsv.bgz	phecode-300.1-both_sexes.tsv.bgz	9705	369930.0
phecode	327	Neurological disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-327-both_sexes.tsv.bgz	phecode-327-both_sexes.tsv.bgz	6623	413908.0
phecode	411_1	Cardiovascular disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-411.1-both_sexes.tsv.bgz	phecode-411.1-both_sexes.tsv.bgz	5652	382052.0
phecode	327_3	Neurological disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-327.3-both_sexes.tsv.bgz	phecode-327.3-both_sexes.tsv.bgz	5621	413908.0
phecode	427	Cardiovascular disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-427-both_sexes.tsv.bgz	phecode-427-both_sexes.tsv.bgz	31341	384657.0
categorical	20002_1387	Immune/blood related disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1387.tsv.bgz	categorical-20002-both_sexes-1387.tsv.bgz	23835	396638.0
phecode	427_2	Cardiovascular disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-427.2-both_sexes.tsv.bgz	phecode-427.2-both_sexes.tsv.bgz	19233	384657.0
phecode	172	Skin/connective tissue disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172-both_sexes.tsv.bgz	phecode-172-both_sexes.tsv.bgz	17691	402691.0
phecode	351	Neurological disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-351-both_sexes.tsv.bgz	phecode-351-both_sexes.tsv.bgz	14648	399339.0
phecode	172_2	Skin/connective tissue disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/phecode-172.2-both_sexes.tsv.bgz	phecode-172.2-both_sexes.tsv.bgz	14453	402691.0
categorical	20002_1265	Neurological disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20002-both_sexes-1265.tsv.bgz	categorical-20002-both_sexes-1265.tsv.bgz	12423	408050.0
categorical	20544_6	Psychiatric disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20544-both_sexes-6.tsv.bgz	categorical-20544-both_sexes-6.tsv.bgz	7541	128422.0
categorical	20001_1061	Skin/connective tissue disorder	wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/categorical-20001-both_sexes-1061.tsv.bgz	categorical-20001-both_sexes-1061.tsv.bgz	3947	416526.0
