phenotype	domain	chapter	subchapter	name	description	source	notes	n_non_missing_female	n_missing_female	n_non_missing_male	n_missing_male	Category	Keep_category
2976_raw	Endocrine	Endocrine, Nutritional and Metabolic Diseases	Diabetes Mellitus	NA	Age diabetes diagnosed	phesant	"ACE touchscreen question ""What was your age when the diabetes was first diagnosed?"" The following checks were performed: If answer If answer > Participants age then rejected If answer If answer > 69 then participant asked to confirm If the participant activated the Help button they were shown the message: If you are unsure, please provide an estimate or select Do not know. ~F2976~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"	5703	188471	10463	156557	Diabetes	
22501_raw	Environment	Major Life Areas	Education	NA	Year ended full time education	phesant	Year ended full time education	50547	143627	41230	125790	Cognitive	Cognitive
22605_raw	Environment	Major Life Areas	Work and Employment	Work hours per week	Work hours per week - exact value	phesant	"Participants were asked ""On average, how many hours a week did you work?"". They were able to select a lumped category or enter a precise number of hours. This field captures the results for participants who entered a precise number."	17586	176588	16110	150910		
22643_raw	Environment	Major Life Areas	Work and Employment	NA	Number of night shifts worked monthly during mixed shift periods	phesant	"Participants who worked a mix of day and night shifts were asked: ""Please tell us about the most common night shift pattern you had during this time: How many night shifts a month did you usually work?"""	8335	185839	11663	155357		
22644_raw	Environment	Major Life Areas	Work and Employment	NA	Consecutive night shifts during mixed shift periods	phesant	"Participants who worked a mix of day and night shifts were asked: ""Please tell us about the most common night shift pattern you had during this time: How many night shifts in a row did you usually work before a change of shift or rest day?"""	8133	186041	11211	155809		
24003_raw	Environment	NA	NA	NA	"Nitrogen dioxide air pollution; 2010"	phesant	"Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2010."	191505	2669	164573	2447		
24004_raw	Environment	NA	NA	NA	"Nitrogen oxides air pollution; 2010"	phesant	"Nitrogen oxides; Land Use Regression (LUR) estimate for annual average 2010."	191505	2669	164573	2447		
24005_raw	Environment	NA	NA	NA	"Particulate matter air pollution (pm10); 2010"	phesant	"PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010."	177030	17144	152856	14164		
24006_raw	Environment	NA	NA	NA	"Particulate matter air pollution (pm2.5); 2010"	phesant	"PM10 (particulate matter with diameter less than or equal to 2.5 micrometres); Land Use Regression (LUR) estimate for annual average 2010."	177030	17144	152856	14164		
24007_raw	Environment	NA	NA	NA	"Particulate matter air pollution (pm2.5) absorbance; 2010"	phesant	"PM2.5 absorbance. This is ameasurement of the blackness of PM2.5 filters; a proxy for elemental carbon, which is the dominant light absorbing substanc. Land Use Regression (LUR) estimate for annual average 2010"	177030	17144	152856	14164		
24008_raw	Environment	NA	NA	NA	"Particulate matter air pollution 2.5-10um; 2010"	phesant	"PM coarse (particulate matter betweem 2.5 and 10 micrometres); Land Use Regression (LUR) estimate for annual average 2010."	177030	17144	152856	14164		
24010_raw	Environment	NA	NA	NA	Inverse distance to the nearest road	phesant	Inverse distance to the nearest road based upon local road network. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.	191505	2669	164573	2447		
24011_raw	Environment	NA	NA	NA	Traffic intensity on the nearest major road	phesant	Traffic intensity is the average total number of motor vehicles per 24 hours on the nearest major road based upon a local road network. Traffic count data is from the Road Traffic Statistics Branch at the Department for Transport attached to the local road network. Traffic data for unmonitored links were estimates based on surrounding monitored links. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours.	191505	2669	164573	2447		
24012_raw	Environment	NA	NA	NA	Inverse distance to the nearest major road	phesant	Inverse distance to the nearest major road based upon a local road network. The definition of a major road for the local road network is a road with traffic intensity greater than 5000 motor vehicles per 24 hours. The local road network is taken from the Ordnance Survey Meridian 2 road network (scale 1:50000, 1 metre accuracy), 2009.	191505	2669	164573	2447		
24016_raw	Environment	NA	NA	NA	"Nitrogen dioxide air pollution; 2005"	phesant	"Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2005."	191505	2669	164573	2447		
24017_raw	Environment	NA	NA	NA	"Nitrogen dioxide air pollution; 2006"	phesant	"Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2006."	191505	2669	164573	2447		
24018_raw	Environment	NA	NA	NA	"Nitrogen dioxide air pollution; 2007"	phesant	"Nitrogen dioxide; Land Use Regression (LUR) estimate for annual average 2007."	191505	2669	164573	2447		
24019_raw	Environment	NA	NA	NA	"Particulate matter air pollution (pm10); 2007"	phesant	"PM10 (particulate matter with diameter less than or equal to 10 micrometres); Land Use Regression (LUR) estimate for annual average 2007."	191032	3142	164213	2807		
24020_raw	Environment	NA	NA	NA	Average daytime sound level of noise pollution	phesant	LDay (day equivalent level): Average sound level pressure LAeq over the 12-hour period 07:00 to 19:00.	191505	2669	164573	2447		
24021_raw	Environment	NA	NA	NA	Average evening sound level of noise pollution	phesant	LEve (evening equivalent level): Average sound level pressure LAeq between the hours of 19:00 to 23:00.	191505	2669	164573	2447		
24022_raw	Environment	NA	NA	NA	Average night-time sound level of noise pollution	phesant	LNight (night equivalent level): Average sound level pressure LAeq overnight 23:00 to 07:00.	191505	2669	164573	2447		
24023_raw	Environment	NA	NA	NA	Average 16-hour sound level of noise pollution	phesant	LAeq,16hr (A-weighted equivalent sound level): Average sound level pressure LAeq between the hours of 07:00 to 23:00.	191505	2669	164573	2447		
24024_raw	Environment	NA	NA	NA	Average 24-hour sound level of noise pollution	phesant	LDen: (day-evening-night equivalent level): A-weighted Leq noise level measured over the 24 hour period with a 10 decibel penality added to the levels between 23:00 and 07:00.	191505	2669	164573	2447		
757_raw	Environment	Major Life Areas	Work and Employment	NA	Time employed in main current job	phesant	"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"" The following checks were performed: If answer If answer > Participants age - 10 years then rejected If answer > Participants age - 16 years then participant asked to confirm If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job. For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner. ~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"	99342	94832	94745	72275		
767_raw	Environment	Major Life Areas	Work and Employment	NA	Length of working week for main job	phesant	"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed: If answer > 160 then rejected If answer If answer > 74 then participant asked to confirm If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question for your MAIN job only. ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~"	103688	90486	98616	68404		
796_raw	Environment	Major Life Areas	Work and Employment	NA	Distance between home and job workplace	phesant	"ACE touchscreen question ""About how many miles is it between your home and your work? "" The following checks were performed: If answer If answer > 9999 then rejected If answer > 70 then participant asked to confirm If the participant activated the Help button they were shown the message: If you have more than one 'current job' then answer this question for your MAIN job only. If you are unsure, please provide an estimate or select Do not know. If you only work from home please enter 0 ~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~"	88467	105707	84594	82426		
30000_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	White blood cell (leukocyte) count	White blood cell (leukocyte) count	phesant	"Result of ""White Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. Analyser operating range was 0 to 9x10^11 cells/Litre. Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre."	188074	6100	162396	4624	Blood & immune cells	Blood & immune cells
30010_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Red blood cell (erythrocyte) count	Red blood cell (erythrocyte) count	phesant	"Result of ""Red Blood Cell Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. Analyser operating range was 0 to 2x10^13 cells/Litre. Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre."	188076	6098	162399	4621	Blood & immune cells	Blood & immune cells
30020_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Haemoglobin concentration	Haemoglobin concentration	phesant	"Result of ""Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Analyser operating range was 0 to 99.9g/dL Typical reference range is 12.1 to 16.3g/dL"	188076	6098	162398	4622	Blood & immune cells	Blood & immune cells
30030_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Haematocrit percentage	Haematocrit percentage	phesant	"Result of ""Haematocrit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. Analyser operating range was 0 to 99.9% Typical reference range is 35.4 to 47.2%"	188076	6098	162399	4621	Blood & immune cells	Blood & immune cells
30040_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean corpuscular volume	Mean corpuscular volume	phesant	"Result of ""Mean Corpuscular Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10."	188075	6099	162398	4622	Blood & immune cells	Blood & immune cells
30050_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean corpuscular haemoglobin	Mean corpuscular haemoglobin	phesant	"Result of ""Mean Corpuscular Haemoglobin"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit."	188074	6100	162398	4622	Blood & immune cells	Blood & immune cells
30060_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean corpuscular haemoglobin concentration	Mean corpuscular haemoglobin concentration	phesant	"Result of ""Mean Corpuscular Haemoglobin Concentration"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100."	188072	6102	162396	4624	Blood & immune cells	Blood & immune cells
30070_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Red blood cell (erythrocyte) distribution width	Red blood cell (erythrocyte) distribution width	phesant	"Result of ""Red Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution."	188075	6099	162398	4622	Blood & immune cells	Blood & immune cells
30080_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Platelet count	Platelet count	phesant	"Result of ""Platelet Count"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram."	188075	6099	162399	4621	Blood & immune cells	Blood & immune cells
30090_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Platelet crit	Platelet crit	phesant	"Result of ""Platelet Crit"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume."	188073	6101	162398	4622	Blood & immune cells	Blood & immune cells
30100_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Mean platelet (thrombocyte) volume	Mean platelet (thrombocyte) volume	phesant	"Result of ""Mean Platelet Volume"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram."	188072	6102	162398	4622	Blood & immune cells	Blood & immune cells
30110_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Platelet distribution width	Platelet distribution width	phesant	"Result of ""Platelet Distribution Width"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size."	188072	6102	162398	4622	Blood & immune cells	Blood & immune cells
30120_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Lymphocyte count	Lymphocyte count	phesant	"Result of ""Lymphocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count"	187758	6416	162098	4922	Blood & immune cells	Blood & immune cells
30130_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Monocyte count	Monocyte count	phesant	"Result of ""Monocytes Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count."	187758	6416	162098	4922	Blood & immune cells	Blood & immune cells
30140_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Neutrophill count	Neutrophill count	phesant	"Result of ""Neutrophils Number"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count."	187758	6416	162098	4922	Blood & immune cells	Blood & immune cells
30180_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Lymphocyte percentage	Lymphocyte percentage	phesant	"Result of ""Lymphocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes."	187760	6414	162101	4919	Blood & immune cells	Blood & immune cells
30190_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Monocyte percentage	Monocyte percentage	phesant	"Result of ""Monocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes."	187760	6414	162101	4919	Blood & immune cells	Blood & immune cells
30200_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Neutrophill percentage	Neutrophill percentage	phesant	"Result of ""Neutrophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes."	187760	6414	162101	4919	Blood & immune cells	Blood & immune cells
30210_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Eosinophill percentage	Eosinophill percentage	phesant	"Result of ""Eosinophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes."	187760	6414	162101	4919	Blood & immune cells	Blood & immune cells
30220_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Basophill percentage	Basophill percentage	phesant	"Result of ""Basophils Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils (Percentage) is calculated as the proportion of basophils in the leukocytes."	187760	6414	162101	4919	Blood & immune cells	Blood & immune cells
30240_raw	Immunological	Functions of the Cardiovascular, Haematological, Immunological and Respiratory Systems	Immunological System Functions	Reticulocyte percentage	Reticulocyte percentage	phesant	"Result of ""Reticulocytes Percentage"" assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Reticulocytes (Percentage) is the number of reticulocytes as a percentage of red blood cells."	184923	9251	159805	7215	Blood & immune cells	Blood & immune cells
