GENE                CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
CASZ1                 1   10696661   10856707      1       1  143265      -3.0115       0.9987
C1orf127              1   11006528   11042094      3       2  137183       -1.289      0.90131
SRM                   1   11114641   11120081      1       1  161489      0.95022        0.171
AL109811.1            1   11128528   11133154      3       1  144436     -0.43627      0.66868
ANGPTL7               1   11249398   11256038      3       1  146661      0.39604      0.34604
MTCYBP45              1   11485314   11485878      1       1  143265      -2.6968       0.9965
DISP3                 1   11539223   11597641     13       6  147943     -0.71544      0.76283
LINC01647             1   11669588   11673412      6       1  166823      0.33194      0.36997
FBXO2                 1   11708424   11715842      2       1  169328      0.95649      0.16941
DRAXIN                1   11751786   11785914      9       6  163944    -0.080698      0.53216
AGTRAP                1   11796141   11814859      1       1  143265       1.2144       0.1123
MTHFR                 1   11845780   11866977      1       1  173005        1.217       0.1118
NPPA                  1   11905766   11908402      2       1  111917       0.6272      0.26526
AL021155.4            1   11967997   11974355     41      20  159337    -0.036953      0.51474
PLOD1                 1   11994262   12035595     17      10  161642       1.4487      0.07371
TNFRSF1B              1   12227060   12269285     37      20  139810       0.3456      0.36482
VPS13D                1   12290124   12572099      3       1  133372      0.70388      0.24075
LINC02766             1   12587766   12588462     13       5  141235       1.1767      0.11967
DHRS3                 1   12627939   12677737      6       2  169166     0.046331      0.48152
AC254633.1            1   12678906   12679250      5       3  173005     -0.27605      0.60874
C1orf158              1   12806163   12823847      3       2  173005     -0.53426      0.70342
PDPN                  1   13909960   13944452     16       9  146931      -1.3665      0.91411
KAZN                  1   14925200   15444539      2       1  173005      -1.2089      0.88666
AL031293.1            1   15100965   15104223      1       1   87924       1.2416       0.1072
TMEM51                1   15479028   15546976      5       2  112757       1.5232     0.063855
C1orf195              1   15490840   15497813     14       3  161721       1.5375      0.06209
MFFP1                 1   15518324   15519341      5       2  163283      0.21439      0.41512
FHAD1                 1   15573768   15726779     14       6  150065      0.30835      0.37891
FHAD1-AS1             1   15653176   15670372      3       2  163092       1.6671     0.047748
AL031283.1            1   15729475   15735929      2       1  169328     -0.37052       0.6445
EFHD2                 1   15736391   15756839      6       4  122886       1.6125     0.053422
PLEKHM2               1   16010827   16061264     42      19  144641      0.63549      0.26255
FBLIM1                1   16083102   16113089      6       3  111577      -1.1187      0.86836
ZBTB17                1   16268364   16302627      1       1   87924      0.38289       0.3509
AL355994.5            1   16315635   16315870      6       2  173005     -0.21906       0.5867
SRARP                 1   16330731   16335302     17       7  158433      0.41473      0.33917
CLCNKA                1   16345370   16360545      8       3  170646      0.83748      0.20116
EPHA2                 1   16450832   16482582     17       9  156939     0.026447      0.48945
AL451042.2            1   16481706   16483824      1       1  173005      0.65107       0.2575
ARHGEF19              1   16524349   16539104      4       1  140368     -0.39994       0.6554
SZRD1                 1   16679070   16724640      2       1  173005      0.31676      0.37571
NECAP2                1   16767167   16786573     22      13  140523     -0.32395      0.62701
BX284668.5            1   17215033   17216144      4       2  139426      -1.1824      0.88148
MFAP2                 1   17300997   17307330      7       3  154411       1.0348      0.15037
ATP13A2               1   17312453   17338423      1       1  173005     -0.39343        0.653
SDHB                  1   17345217   17380665      3       1  173005     -0.81107      0.79134
RCC2                  1   17733256   17766220      1       1  173005       2.6927     0.003544
IGSF21                1   18434240   18704977     20       5  162800     -0.28197      0.61102
AL591896.1            1   18712323   18715008      4       2  132147       1.1401      0.12712
PAX7                  1   18957500   19075360      8       5  134146        0.171      0.43211
IFFO2                 1   19230775   19283180     14       6  157854      -1.7615      0.96092
SLC66A1               1   19638820   19655794      4       2  137189      -2.5946      0.99526
CAPZB                 1   19665267   19812066     19      11  148798       1.9467     0.025783
AL031727.2            1   19918296   19923326     53      19  166890       0.7219      0.23518
NBL1                  1   19967048   19984945      3       1  173005       1.1628      0.12245
TMCO4                 1   20008706   20126438     20      12  134562      0.59686       0.2753
PLA2G2C               1   20487746   20503917      4       2  150124       1.0673      0.14291
UBXN10                1   20512578   20522541      3       1  173005      0.97143      0.16567
VWA5B1                1   20617412   20681387     10       4  173005      -1.9192      0.97252
LINC01141             1   20687072   20757727      5       3  167057      0.50769      0.30583
CAMK2N1               1   20808884   20812713      9       5  148973     -0.31449      0.62343
FAM43B                1   20878932   20881512      6       3  120253       0.6475      0.25865
CDA                   1   20915441   20945401      4       2  173005      0.99294      0.16037
PINK1                 1   20959948   20978004     29      12  159728      0.56708      0.28533
EIF4G3                1   21132963   21503377      3       1  148190      0.13965      0.44447
ECE1                  1   21543740   21671997      5       3  173005     -0.51116      0.69538
ECE1-AS1              1   21619783   21626267     15       9  149774      -1.2525      0.89481
AL592309.1            1   21737953   21739786      1       1  173005     -0.48878       0.6875
ALPL                  1   21835858   21904905     41      16  146172       1.6806     0.046423
RAP1GAP               1   21922708   21995801     15      10  143616       1.4949     0.067466
HSPG2                 1   22148738   22263790      7       5  128849       1.5412     0.061637
CDC42                 1   22379120   22419437     45      24  157749    -0.076102      0.53033
WNT4                  1   22443798   22470462      9       5  152503      -1.9278      0.97306
EPHA8                 1   22890057   22930087      3       1  165650     -0.98902      0.83867
C1QA                  1   22962999   22966101     11       5  161805      0.12317      0.45098
C1QB                  1   22979255   22988031      1       1  156420    -0.051911       0.5207
EPHB2                 1   23037332   23241818      1       1  135910      0.17205       0.4317
AL031428.1            1   23346640   23414551      1       1  173005     0.060447       0.4759
LUZP1                 1   23410516   23504301      3       1  173005     -0.27032      0.60654
HTR1D                 1   23516993   23521222      3       1  173005     0.081489      0.46753
ZNF436                1   23685941   23695935      2       1  173005       1.6623     0.048231
AL109936.3            1   23704873   23705522      2       1  173005     -0.65418       0.7435
TCEA3                 1   23707554   23751233      3       1  163092      0.40057      0.34437
ASAP3                 1   23755056   23811061      2       1  165650       0.4447      0.32827
E2F2                  1   23832922   23857712      1       1  173005      -1.6362       0.9491
ID3                   1   23884409   23886285     11       7  145218      0.69417      0.24379
AL450043.1            1   23902926   23920111      1       1  173005     -0.71469       0.7626
FUCA1                 1   24171567   24194784     30      11  140396       1.8602     0.031426
MYOM3                 1   24382525   24438665      1       1   95279      0.50011       0.3085
IFNLR1                1   24480647   24514449     12       8  135604      -1.4732      0.92965
GRHL3-AS1             1   24634046   24648391     14       7  138910     -0.35675      0.63936
GRHL3                 1   24645812   24690972      4       2  158135     -0.96074      0.83166
NIPAL3                1   24742284   24799466      1       1  173005      -1.1641       0.8778
NCMAP-DT              1   24865292   24882515      1       1  173005      -1.3813       0.9164
CLIC4                 1   25071848   25170815     12       5  167893     -0.69148      0.75537
RUNX3                 1   25226002   25291612      4       2  132933     -0.53537       0.7038
RSRP1                 1   25568728   25664704     19      12  129231     -0.53691      0.70434
TMEM50A               1   25664408   25688852     19       8  145906       1.3223      0.09304
MACO1                 1   25757388   25826700      1       1   87924     -0.73326       0.7683
LDLRAP1               1   25870071   25895377      5       3  118456      0.72675      0.23369
MAN1C1                1   25943959   26112698     12       7  125453      -1.1772      0.88044
AL020996.1            1   26143240   26147288      1       1  173005       0.4032       0.3434
MTFR1L                1   26145131   26159432      5       2  159569      0.78009      0.21767
AL033528.3            1   26186104   26189911      2       1   86503     -0.35313        0.638
PAFAH2                1   26286258   26324648      9       4  148229      -1.1663      0.87825
EXTL1                 1   26346375   26362955      2       1  173005    -0.042836      0.51708
PDIK1L                1   26437664   26452034      2       1  154458     0.081811       0.4674
FAM110D               1   26485511   26489119      9       5  139942       1.5173     0.064593
AL391650.1            1   26496007   26498322      2       1  173005      0.58959      0.27773
ZNF593                1   26496362   26498551      3       2  173005       1.4269      0.07681
SH3BGRL3              1   26605667   26608007      7       3  167715      -1.4968      0.93278
UBXN11                1   26607819   26644854      1       1  173005     -0.30417       0.6195
CD52                  1   26644448   26647014      2       1  130465     -0.38946      0.65153
LIN28A                1   26737269   26756213      2       1  147770     0.022942      0.49085
HMGN2                 1   26798941   26802463      1       1  173005     -0.52095       0.6988
RPS6KA1               1   26856252   26901521     40      15  156855     -0.53589      0.70398
SLC9A1                1   27425306   27493472     17       7  145560      0.31203      0.37751
MAP3K6                1   27681675   27693383      1       1  173005     -0.96051       0.8316
FCN3                  1   27695603   27701315      1       1   87924       0.6116       0.2704
WASF2                 1   27730730   27816669     21       9  140561      0.12235      0.45131
FGR                   1   27938575   27961788     17       9  156771     -0.35422      0.63841
IFI6                  1   27992572   27998729     12       7  141713    -0.041515      0.51656
THEMIS2               1   28199055   28213196     37      21  139049      -1.1623      0.87744
SMPDL3B               1   28261504   28285668      6       2  147045      0.82341      0.20514
XKR8                  1   28285973   28294607      1       1  128532       0.3263       0.3721
EYA3                  1   28296855   28415207      1       1  173005    -0.057936       0.5231
PTAFR                 1   28473677   28520447      2       1  173005      -1.0385      0.85048
AL353622.2            1   28573655   28574079      1       1  173005     -0.24146       0.5954
SESN2                 1   28586038   28609002      2       1  173005      0.51665       0.3027
RCC1                  1   28832455   28865812      1       1  143265       -1.022       0.8466
TRNAU1AP              1   28879597   28905051      1       1  165788     -0.40402       0.6569
RNU11                 1   28975112   28975245     21       9  167959       2.2946     0.010879
OPRD1                 1   29138654   29190208      3       1  173005       1.6446     0.050028
TMEM200B              1   29445940   29450447     16       9  146359      0.37983      0.35203
PTPRU                 1   29563028   29653325      3       2  170553     -0.23101      0.59135
AL671862.1            1   29814705   29823405      3       1  170553     -0.77592       0.7811
MATN1-AS1             1   31191351   31199674      1       1  173005     0.062958       0.4749
AL137857.1            1   31204540   31206274     21       9  154798     -0.14783      0.55876
LAPTM5                1   31205316   31230667     11       5  144686      -0.2325      0.59192
SDC3                  1   31342314   31381608      7       4  167706       1.8447     0.032542
NKAIN1                1   31652592   31712401     20       6  156214     -0.40628      0.65773
ZCCHC17               1   31769842   31837783      2       1  165650       1.1529      0.12447
FABP3                 1   31838472   31849697     11       6  143247     -0.99458      0.84003
TINAGL1               1   32042116   32053288      1       1  143265      -0.5021       0.6922
PEF1-AS1              1   32109650   32125763      1       1   66034      0.18172       0.4279
COL16A1               1   32117848   32169920      1       1  173005     -0.38343       0.6493
ADGRB2                1   32192718   32230494      4       2  123527       -1.017      0.84543
PTP4A2                1   32372022   32410457     18       9  166293      0.46619      0.32054
AL445248.1            1   32517892   32539075      1       1  161489      0.13021       0.4482
TXLNA                 1   32645287   32663886      1       1  173005     0.079292       0.4684
EIF3I                 1   32687529   32697205      1       1  173005      0.15173       0.4397
MTMR9LP               1   32697259   32707221      3       1  173005      0.46741       0.3201
FAM167B               1   32712834   32714457      3       1  125250      0.38735      0.34925
HDAC1                 1   32757687   32799236      1       1   99440      -0.9994       0.8412
ZBTB8OS               1   33065773   33116504      2       1  139588      -1.5111      0.93462
FNDC5                 1   33327869   33338083      1       1  173005      0.47358       0.3179
RNF19B                1   33402046   33430286      1       1  173005       1.5986      0.05496
AZIN2                 1   33546705   33586131     17       9  141832       -1.011        0.844
TRIM62                1   33611003   33647660      3       2  122151     0.039715      0.48416
PHC2                  1   33789224   33896653      4       2  151579     -0.37607      0.64657
CSMD2                 1   33979609   34631443      8       4  127628       0.5118       0.3044
C1orf94               1   34632484   34684732      1       1  173005      -1.1259       0.8699
GJA4                  1   35258599   35261348     12       5  168607      -1.6087      0.94616
AC114490.3            1   35439957   35450914      1       1   87924      -1.4488       0.9263
ZMYM6                 1   35449523   35497569      6       3  125927       1.7233     0.042415
AGO1                  1   36335409   36395211      1       1  173005     -0.32181       0.6262
TEKT2                 1   36549676   36553876      2       1  111917       1.8385     0.032992
COL8A2                1   36560837   36590821      1       1   88179      0.57691        0.282
THRAP3                1   36690017   36770958      1       1   42710      0.31917       0.3748
EVA1B                 1   36787632   36789755      7       5  118199     -0.26006      0.60259
CSF3R                 1   36931644   36948879     18       8  150693       2.3598    0.0091415
AC117945.2            1   37233723   37235326      1       1  143265      0.28271       0.3887
GRIK3                 1   37261128   37499730      5       2  134755       1.2784      0.10055
LINC01137             1   37920480   37940012      1       1  173005     -0.29159       0.6147
ZC3H12A               1   37940153   37949980     10       6  166827       0.9929      0.16038
DNALI1                1   38022520   38032458      2       1  173005      0.81038      0.20886
GNL2                  1   38032417   38061536      4       2  173005       1.4734     0.070323
RSPO1                 1   38076951   38100595      2       1  146586      0.33436      0.36905
EPHA10                1   38179552   38230805      6       3  135043    -0.031082       0.5124
AL929472.2            1   38326369   38327252      2       1  143265      0.86235      0.19425
INPP5B                1   38326369   38412729      3       2  127902     -0.71532      0.76279
FHL3                  1   38462442   38471278      6       4  144963      -1.0966       0.8636
RRAGC                 1   39303870   39325495      5       2  171534      0.35437      0.36153
RHBDL2                1   39351479   39407471      2       1  139562      0.37815      0.35266
AKIRIN1               1   39456895   39471731     12       5  160345       1.5211      0.06412
MACF1                 1   39546988   39952849     21      13  159590       1.1537      0.12431
BMP8A                 1   39957318   39991607      8       4  143692      -1.2135      0.88753
PABPC4                1   40026488   40042462      4       2  112323      0.80925      0.20919
HEYL                  1   40089825   40105617      7       4  129267       1.1929      0.11645
AL035404.2            1   40099088   40099575      7       4  142136       1.3896     0.082324
HPCAL4                1   40144320   40157361      6       2  166564     -0.53806      0.70473
BMP8B                 1   40222854   40254533      5       3  171534       1.1212      0.13111
AL033527.2            1   40254648   40255843      4       2  164610       1.3698     0.085372
AL033527.3            1   40265094   40275122      4       1  169328      0.29809      0.38282
MYCL                  1   40361098   40367928      3       2   85066     -0.23819      0.59413
MFSD2A                1   40420802   40435638     12       6  158960      0.47645      0.31688
CAP1                  1   40505905   40538321      1       1  101669       2.5548     0.005312
PPT1                  1   40538379   40563375     55      23  140473       1.0974      0.13622
COL9A2                1   40766159   40783488      2       1  142680      0.87073      0.19195
SMAP2                 1   40810522   40888998      2       1  130465       0.3739      0.35424
ZFP69B                1   40915774   40929390      3       2  131653      -0.8067      0.79008
AL603839.3            1   40958829   40974333      3       2  173005       1.0633      0.14383
GTF2F2P2              1   41059305   41060025      1       1  173005       1.0524       0.1463
KCNQ4                 1   41249684   41306124      9       6  144108      0.16591      0.43412
CITED4                1   41326729   41328018     16       9  148527      0.14357      0.44292
AC119677.1            1   41329586   41342342      2       1  173005     -0.68954      0.75476
SCMH1                 1   41492872   41707826      1       1  173005     0.024567       0.4902
GUCA2A                1   42628362   42630389      2       1  158135       1.3304     0.091693
FOXJ3                 1   42642210   42801548      3       1  173005       1.7334     0.041512
RIMKLA                1   42846466   42888249      1       1  165650       2.6516     0.004005
CLDN19                1   43198764   43205925      1       1  143265     -0.76076       0.7766
ERMAP                 1   43282795   43310660     19      10  147247     -0.29767      0.61702
SLC2A1                1   43391052   43424530     19       6  173005      0.24752      0.40225
SLC2A1-AS1            1   43424720   43449029      1       1  173005      0.34885       0.3636
AC099795.1            1   43424736   43427535      3       1  144983      0.16688      0.43373
TMEM125               1   43735665   43739673      7       4  120212     0.069392      0.47234
TIE1                  1   43766664   43788779     23       9  160451       1.3726      0.08494
ELOVL1                1   43829068   43833696      1       1   87924       1.4906      0.06803
MED8                  1   43849588   43855479      4       2  173005        1.071      0.14209
HYI                   1   43916824   43919660      1       1  173005     -0.01504        0.506
HYI-AS1               1   43919598   43922666      2       1  154458      -1.5157       0.9352
CCDC24                1   44457031   44462200      2       1  143265     -0.28973      0.61399
SLC6A9                1   44457172   44497139      5       3  168871      0.63981      0.26115
AL139220.2            1   44496109   44581585      3       2  140806       1.1852      0.11798
AL139220.1            1   44553630   44554149      1       1  172750      0.45321       0.3252
RNU6-369P             1   44856394   44856495      3       2  173005      0.60255       0.2734
RNF220                1   44870866   45117396      4       1  173005       1.7371     0.041181
RNU5F-1               1   45187458   45187574     24      13  131673      -1.4896      0.93184
RNU5D-1               1   45196727   45196842     25      13  143594     -0.76028      0.77646
PLK3                  1   45265897   45271662      1       1  173005     -0.87569       0.8094
BTBD19                1   45274154   45281257      2       1  173005     -0.57876      0.71862
HECTD3                1   45468212   45477001      4       2  147764      0.37626      0.35336
AKR1A1                1   46016215   46035721     14       7  144122      0.68053      0.24809
MAST2                 1   46252659   46501796      1       1  173005       1.1217        0.131
LURAP1                1   46669006   46686933      1       1  173005      -1.1479       0.8745
UQCRH                 1   46769303   46782448      1       1  124288     -0.61675       0.7313
FAAHP1                1   46897801   46948165      5       3  148474      0.30064      0.38185
DMBX1                 1   46972668   46979898      7       3  136136    -0.023351      0.50931
MKNK1-AS1             1   47004368   47035927      3       2  160555     0.064028      0.47447
MKNK1                 1   47023090   47082515      8       2  156686     -0.78387      0.78344
MOB3C                 1   47073387   47082563     16       7  166929     0.028497      0.48863
EFCAB14               1   47124366   47184824      9       4  129400     -0.78944      0.78507
CYP4X1                1   47427036   47516423      7       4  137952       2.1224     0.016904
CYP4A22-AS1           1   47562325   47644943      1       1  173005     -0.98383       0.8374
TAL1                  1   47681962   47697892      8       3  153408      0.98632      0.16199
CMPK1                 1   47799469   47844511      1       1  173005      0.28636       0.3873
LINC01389             1   47846600   47874149      1       1  173005       0.9924       0.1605
FOXD2-AS1             1   47897805   47900313      4       2  173005      0.78852       0.2152
FOXD2                 1   47901689   47906363      6       3  145871     -0.97677      0.83566
TRABD2B               1   48226200   48462567      5       1  173005       0.1209      0.45189
AL109659.2            1   48693560   48695233      3       2  108230      0.48666      0.31325
SPATA6                1   48761044   48937845      2       1  158135        1.228      0.10973
BEND5                 1   49193195   49242641      1       1  173005       0.6486       0.2583
ELAVL4-AS1            1   50639978   50641540      2       1  173005        1.108      0.13393
DMRTA2                1   50883222   50889172      1       1  173005     -0.88863       0.8129
AL049637.1            1   50889281   50890988      5       3  129281     -0.63326      0.73672
EPS15                 1   51819935   51985000      6       3  124973       1.3664     0.085914
CALR4P                1   52027538   52060569      2       1  173005     -0.58178      0.71964
TXNDC12               1   52485803   52521843      1       1  173005      0.79606        0.213
TUT4                  1   52873954   53019159      8       5  134310     -0.36133      0.64107
GPX7                  1   53068044   53074723      2       1  139517     -0.70888       0.7608
SHISAL2A              1   53099016   53135355     19       9  156515      -2.2846      0.98883
COA7                  1   53152508   53164038      3       2  103580      0.74202      0.22904
ZYG11B                1   53192126   53293014      3       1  151898     0.020093      0.49198
AC099677.1            1   53386094   53386268      2       1  167247      0.34428      0.36532
SCP2                  1   53392901   53517375      3       2  112914     -0.29786      0.61709
PODN                  1   53527854   53551174      4       1  133070      0.52453      0.29995
LRP8                  1   53711217   53793742     19      10  146253     -0.63334      0.73674
HSPB11                1   54382247   54411602      1       1   29740     -0.62984       0.7356
AL035415.1            1   54881929   54886533      2       1  173005     -0.17033      0.56762
ACOT11                1   55007930   55104865      2       1  158135     -0.60962      0.72894
MROH7                 1   55107463   55175939      3       2  169166     -0.12666       0.5504
TTC22                 1   55245385   55266940      4       2  131094      -1.9276      0.97305
DHCR24                1   55315306   55352891      5       2  173005     -0.20088      0.57961
BSND                  1   55464606   55476556      1       1  173005       1.7721      0.03819
PCSK9                 1   55505221   55530525     13       5  156504      0.27066      0.39332
AL603840.1            1   55794961   56536186      4       2  149896      0.31519      0.37631
LINC01755             1   56410760   56415792      4       2  168551       1.7562     0.039527
AC119674.1            1   56620217   56848891      3       1  156143      0.72049      0.23561
AC119674.2            1   56639105   56990167     12       6  128669       2.3711    0.0088682
PLPP3                 1   56960419   57110974      2       1  173005    -0.075792      0.53021
RPL21P23              1   57004124   57004583      4       2  156518      0.36017      0.35936
PRKAA2                1   57110995   57181008      2       1  148700      0.14161      0.44369
FYB2                  1   57184477   57285369      6       3  160128     -0.49879      0.69104
DAB1                  1   57460451   59012406      4       2  169702      -1.5352      0.93763
AL390243.1            1   57852248   57853122      3       2  148343     -0.44561      0.67206
DAB1-AS1              1   58326204   58346577      3       2  101128         -1.2      0.88494
AL445193.2            1   58525811   58545946      5       3  160818      0.78177      0.21718
AL445193.1            1   58550091   58550231      2       1  173005       1.0326       0.1509
OMA1                  1   58881056   59012474      2       1  173005      -1.3051      0.90407
JUN                   1   59246465   59249785     14       9  156624       1.5535     0.060147
AL136985.1            1   59304120   59316926      1       1  173005      0.23965       0.4053
LINC01358             1   59399315   59706227     23      13  142572     -0.53938      0.70519
HSD52                 1   59597608   59664293      3       2  144645     -0.51206       0.6957
FGGY                  1   59762310   60233347      2       1  158135       1.0446      0.14811
HOOK1                 1   60280458   60342050      5       3  150552      0.84492      0.19908
CYP2J2                1   60358980   60392462      5       3  155989     -0.35045        0.637
LINC01748             1   60981388   61106179      3       1  166715      -1.7823      0.96265
NFIA                  1   61330931   61928465     14       9  154556     -0.66824      0.74801
NFIA-AS2              1   61405911   61436448      1       1  173005        1.039       0.1494
NFIA-AS1              1   61714617   61719182      3       2  153043      0.39934      0.34482
AC099791.4            1   62053721   62055576      3       2  119575      0.90041      0.18395
AC099791.2            1   62207670   62208096      2       1  159892    -0.064523      0.52572
L1TD1                 1   62660503   62678000     15       8  163058      0.47811      0.31629
KANK4                 1   62702651   62785085      3       2  165433      0.44002      0.32996
DOCK7                 1   62920399   63153969      1       1  165650     -0.15452       0.5614
ATG4C                 1   63249806   63331184     12       4  146217      -1.4576      0.92753
AL162400.3            1   63476868   63484285      2       1  173005      -1.5876      0.94381
LINC00466             1   63655660   63782902     10       6  146643     0.029327       0.4883
FOXD3-AS1             1   63786555   63790112      1       1  173005     -0.41001       0.6591
FOXD3                 1   63788730   63790797      5       3  133025      0.77043      0.22052
PGM1                  1   64058947   64125916      1       1  143265     -0.83877       0.7992
ROR1                  1   64239693   64647181      5       3  140947     -0.45815      0.67658
RNU6-809P             1   64494566   64494672      2       1  135910     0.090236      0.46405
CACHD1                1   64936428   65158741      2       1  107730     -0.38969      0.65162
RAVER2                1   65210778   65298915      3       2   71820     0.068919      0.47253
JAK1                  1   65298912   65432187      8       3  168336      -0.3107      0.62198
AK4                   1   65613232   65697828      6       2  138954       1.4855     0.068704
AL139294.1            1   65745139   65772204      1       1  173005     -0.60979        0.729
LEPR                  1   65886248   66107242      3       1  168102      0.15943      0.43667
AL513493.1            1   66169645   66180530      2       1  173005     -0.68439      0.75313
RN7SL854P             1   66226743   66227035      7       3  159205       1.8391      0.03295
PDE4B                 1   66258197   66840259      1       1  173005       2.7246     0.003219
PDE4B-AS1             1   66508183   66516401      4       2  152386       1.9036     0.028484
TCTEX1D1              1   67218142   67244470      1       1  173005        1.063       0.1439
WDR78                 1   67278568   67390570      1       1  173005       2.2524      0.01215
SLC35D1               1   67465015   67519782      3       2  144645      -1.3596      0.91302
IL12RB2               1   67773047   67862583      4       2  160362   -0.0034016      0.50136
GADD45A               1   68150744   68154021     20      13  146723     -0.87517      0.80926
GNG12                 1   68167149   68299150      9       4  170091      0.27411        0.392
DIRAS3                1   68511645   68517314      6       3   98778       2.6708    0.0037832
WLS                   1   68564142   68698803      4       2  139138      -1.3761       0.9156
RPE65                 1   68894505   68915642      1       1   42455       0.5058       0.3065
DEPDC1                1   68939835   68962904      2       1   94300       1.2046      0.11417
LRRC7                 1   70034081   70617628      9       5  153782       1.4801     0.069427
LRRC7-AS1             1   70479665   70496905      2       1  158135    -0.092668      0.53692
CHORDC1P5             1   70996209   70997175      1       1  173005     -0.18759       0.5744
PTGER3                1   71318036   71513491      2       1  173005       1.2628      0.10333
