,pattern,num_seqlets,modisco_cwm_fwd,modisco_cwm_rev,match0,motif_name0,qval0,match0_logo,match1,motif_name1,qval1,match1_logo,match2,motif_name2,qval2,match2_logo
10,metacluster_1.pattern_0,1641,trimmed_logos/metacluster_1.pattern_0.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_0.cwm.rev.png,MA0671.1,NFIX,0.00516807,motif_logo/MA0671.1.png,MA1643.1,NFIB,0.0388468,motif_logo/MA1643.1.png,MA0119.1,NFIC::TLX1,0.0420521,motif_logo/MA0119.1.png
11,metacluster_1.pattern_1,926,trimmed_logos/metacluster_1.pattern_1.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_1.cwm.rev.png,MA0091.1,TAL1::TCF3,0.0675327,motif_logo/MA0091.1.png,MA0698.1,ZBTB18,0.0675327,motif_logo/MA0698.1.png,MA1123.2,TWIST1,0.0675327,motif_logo/MA1123.2.png
12,metacluster_1.pattern_2,645,trimmed_logos/metacluster_1.pattern_2.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_2.cwm.rev.png,MA0900.2,HOXA2,0.00181834,motif_logo/MA0900.2.png,MA0722.1,VAX1,0.00181834,motif_logo/MA0722.1.png,MA0661.1,MEOX1,0.00181834,motif_logo/MA0661.1.png
13,metacluster_1.pattern_3,236,trimmed_logos/metacluster_1.pattern_3.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_3.cwm.rev.png,MA0680.2,Pax7,0.00232818,motif_logo/MA0680.2.png,MA1640.1,MEIS2,0.00451848,motif_logo/MA1640.1.png,MA0757.1,ONECUT3,0.00946368,motif_logo/MA0757.1.png
14,metacluster_1.pattern_4,208,trimmed_logos/metacluster_1.pattern_4.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_4.cwm.rev.png,MA1637.1,EBF3,0.0493596,motif_logo/MA1637.1.png,MA1604.1,Ebf2,0.0493596,motif_logo/MA1604.1.png,MA0163.1,PLAG1,0.228312,motif_logo/MA0163.1.png
15,metacluster_1.pattern_5,202,trimmed_logos/metacluster_1.pattern_5.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_5.cwm.rev.png,MA0502.2,NFYB,0.999997,motif_logo/MA0502.2.png,MA0497.1,MEF2C,0.999997,motif_logo/MA0497.1.png,MA1979.1,ZNF416,0.999997,motif_logo/MA1979.1.png
16,metacluster_1.pattern_6,125,trimmed_logos/metacluster_1.pattern_6.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_6.cwm.rev.png,MA0091.1,TAL1::TCF3,0.340205,motif_logo/MA0091.1.png,MA1725.1,ZNF189,0.340205,motif_logo/MA1725.1.png,MA1472.2,Bhlha15,0.340205,motif_logo/MA1472.2.png
17,metacluster_1.pattern_7,115,trimmed_logos/metacluster_1.pattern_7.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_7.cwm.rev.png,MA0671.1,NFIX,0.950525,motif_logo/MA0671.1.png,MA1729.1,ZNF680,0.950525,motif_logo/MA1729.1.png,MA0670.1,NFIA,0.950525,motif_logo/MA0670.1.png
18,metacluster_1.pattern_8,111,trimmed_logos/metacluster_1.pattern_8.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_8.cwm.rev.png,MA0161.2,NFIC,0.287852,motif_logo/MA0161.2.png,MA0650.3,Hoxa13,0.287852,motif_logo/MA0650.3.png,MA0497.1,MEF2C,0.32762,motif_logo/MA0497.1.png
19,metacluster_1.pattern_9,78,trimmed_logos/metacluster_1.pattern_9.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_9.cwm.rev.png,MA0680.2,Pax7,0.00767857,motif_logo/MA0680.2.png,MA0135.1,Lhx3,0.00767857,motif_logo/MA0135.1.png,MA0791.1,POU4F3,0.00767857,motif_logo/MA0791.1.png
20,metacluster_1.pattern_10,73,trimmed_logos/metacluster_1.pattern_10.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_10.cwm.rev.png,MA1993.1,Neurod2,0.0388107,motif_logo/MA1993.1.png,MA1997.1,Olig2,0.0388107,motif_logo/MA1997.1.png,MA0633.2,Twist2,0.0623072,motif_logo/MA0633.2.png
21,metacluster_1.pattern_11,73,trimmed_logos/metacluster_1.pattern_11.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_11.cwm.rev.png,MA0703.2,LMX1B,1.31429e-06,motif_logo/MA0703.2.png,MA0601.1,Arid3b,0.00165435,motif_logo/MA0601.1.png,MA0715.1,PROP1,0.00165435,motif_logo/MA0715.1.png
22,metacluster_1.pattern_12,69,trimmed_logos/metacluster_1.pattern_12.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_12.cwm.rev.png,MA0670.1,NFIA,0.747579,motif_logo/MA0670.1.png,MA0671.1,NFIX,0.747579,motif_logo/MA0671.1.png,MA1979.1,ZNF416,0.776529,motif_logo/MA1979.1.png
23,metacluster_1.pattern_13,54,trimmed_logos/metacluster_1.pattern_13.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_13.cwm.rev.png,MA0607.2,BHLHA15,0.14565,motif_logo/MA0607.2.png,MA0818.2,BHLHE22,0.14565,motif_logo/MA0818.2.png,MA0827.1,OLIG3,0.14565,motif_logo/MA0827.1.png
24,metacluster_1.pattern_14,51,trimmed_logos/metacluster_1.pattern_14.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_14.cwm.rev.png,MA1467.2,Atoh1,0.389963,motif_logo/MA1467.2.png,MA1109.1,NEUROD1,0.389963,motif_logo/MA1109.1.png,MA0161.2,NFIC,0.389963,motif_logo/MA0161.2.png
25,metacluster_1.pattern_15,50,trimmed_logos/metacluster_1.pattern_15.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_15.cwm.rev.png,MA1719.1,ZNF816,0.576553,motif_logo/MA1719.1.png,MA0757.1,ONECUT3,1.0,motif_logo/MA0757.1.png,MA0679.2,ONECUT1,1.0,motif_logo/MA0679.2.png
26,metacluster_1.pattern_16,46,trimmed_logos/metacluster_1.pattern_16.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_16.cwm.rev.png,MA0790.1,POU4F1,0.402752,motif_logo/MA0790.1.png,MA0683.1,POU4F2,0.402752,motif_logo/MA0683.1.png,MA0698.1,ZBTB18,0.402752,motif_logo/MA0698.1.png
27,metacluster_1.pattern_17,40,trimmed_logos/metacluster_1.pattern_17.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_17.cwm.rev.png,MA0674.1,NKX6-1,0.0100086,motif_logo/MA0674.1.png,MA0900.2,HOXA2,0.0100086,motif_logo/MA0900.2.png,MA1507.1,HOXD4,0.0100086,motif_logo/MA1507.1.png
28,metacluster_1.pattern_18,33,trimmed_logos/metacluster_1.pattern_18.cwm.fwd.png,trimmed_logos/metacluster_1.pattern_18.cwm.rev.png,MA1480.1,DPRX,0.0147135,motif_logo/MA1480.1.png,MA0648.1,GSC,0.794795,motif_logo/MA0648.1.png,MA1978.1,ZNF354A,0.794795,motif_logo/MA1978.1.png
