,pValue,logFC
LINC01896,0,0.887415632
ATP10B,0,0.876531507
POLQ,0,0.876183978
KIF18A,0,0.871609846
PLIN5,0,0.8702505
NFIA-AS2,0,0.866384721
AL606923.2,0,0.865350372
PDGFD,0,0.864864909
ADGRV1,0,0.862253684
NFIA,0,0.861285013
MKI67,0,0.860305293
LRIG3,0,0.859314357
VCAM1,0,0.855231688
RRM2,0,0.853225125
DTL,0,0.852089979
DPP4,0,0.851050888
CEP55,0,0.850706988
NALCN-AS1,0,0.846626926
PRDM16,0,0.844957904
EMX2OS,0,0.844689964
ESCO2,0,0.841637368
CCDC140,0,0.840488565
MLC1,0,0.834382231
PBK,0,0.83417218
GLI3,0,0.830471294
FAM111A,0,0.829385585
AC244502.1,0,0.82830244
AL136366.1,0,0.828120501
FLT1,0,0.826230374
TTK,0,0.823986727
ACSS1,0,0.823560512
CHRDL1,0,0.823412679
ELMO1-AS1,0,0.811398717
AC104389.5,0,0.808498871
HBZ,0,0.807422476
FOXM1,0,0.804063222
KIF4A,0,0.802738521
NUF2,0,0.80086661
ARHGAP11B,0,0.795358238
ARMC4,0,0.79222893
AC110023.1,0,0.791091149
NIBAN1,0,0.7900748
CACNG3,0,0.789314794
TAFA1,0,0.788709562
AL445250.1,0,0.788410751
HJURP,0,0.78731265
PRDM13,0,0.785456536
FBXO5,0,0.785387405
GJA1,0,0.785022319
TPX2,0,0.780464726
GULP1,0,0.776802889
AC099489.1,0,0.775828689
RHOJ,0,0.775498816
CD9,0,0.77263367
ONECUT1,0,0.769119387
SALL3,0,0.768863421
BUB1B,0,0.767134296
IFI44,0,0.765042597
AURKB,0,0.76501541
BRCA2,0,0.764644717
STK3,0,0.762651402
RARRES2,0,0.761648564
SLC25A48,0,0.759621478
GLI2,0,0.75888226
TFPI,0,0.758281341
AC092957.1,0,0.751740216
LHX2,0,0.75117618
NFIX,0,0.7495622
LTBP1,0,0.747518116
GPC6,0,0.74668253
SLC4A4,0,0.743185616
MIR222HG,0,0.741773345
KIF2C,0,0.74174481
E2F1,0,0.741129028
AC000065.1,0,0.740698943
AC087564.1,0,0.738718886
PDZRN4,0,0.736330341
CDCA7L,0,0.733523005
CHEK2,0,0.729843907
KIF24,0,0.727453855
CFAP299,0,0.724705389
SPARCL1,0,0.723558573
KNDC1,0,0.723136513
BMP7,0,0.722496817
STUM,0,0.721673336
CDK6,0,0.721603731
CENPE,0,0.721089194
AL583785.1,0,0.720847957
NPHS1,0,0.72043459
IQGAP3,0,0.715711135
AC009041.2,0,0.71475955
NFIB,0,0.714692831
SULT1C4,0,0.714142405
AC007402.1,0,0.712539854
SLCO1C1,0,0.711440081
CDH10,0,0.710754659
NOTCH1,0,0.709842736
MAD2L1,0,0.709812207
PAUPAR,0,0.708730711
PLSCR4,0,0.705224044
MMD2,0,0.704876538
CCDC80,0,0.704675518
AC068308.1,0,0.704674414
AL024495.1,0,0.704412537
BCAN,0,0.702523176
SOX2-OT,0,0.701862556
KNL1,0,0.700450985
FGFR2,0,0.700033877
LINC01090,0,0.69915228
IGFBP5,0,0.698664132
CDC45,0,0.698126975
TACC3,0,0.697636939
SKA3,0,0.695694957
ITGA2,0,0.693827153
POC1A,0,0.690821606
AP002989.1,0,0.689590806
PTF1A,0,0.687001811
ATP1A2,0,0.686103791
SDC2,0,0.68467332
SUCLG2-AS1,0,0.683179911
DHRS3,0,0.68252831
HMCN1,0,0.682176275
NDC80,0,0.68144407
YAP1,0,0.68010796
TCF7L1,0,0.679161329
TOP2A,0,0.677721718
LINC00989,0,0.675796842
XRCC2,0,0.674941243
PDK4,0,0.674112626
LINC02397,0,0.674074395
GPC4,0,0.673428525
ICAM2,0,0.673193905
AC069277.1,0,0.672278898
NUSAP1,0,0.670982844
CENPF,0,0.670141463
LUCAT1,0,0.669219502
AC104689.2,0,0.668252337
ANOS1,0,0.668140609
BIRC5,0,0.667133678
WDR49,0,0.667114692
KIFC1,0,0.666785594
AC008957.1,0,0.665299656
ST18,0,0.66501522
HIST1H2AM,0,0.664738042
COL2A1,0,0.664093927
ATAD2,0,0.662878515
LAMA2,0,0.662625236
NCAPH,0,0.661492903
HEG1,0,0.660313714
FAM181B,0,0.654698683
CCND1,0,0.653152234
TNFAIP8,0,0.651707799
PRKD1,0,0.650566871
RHCG,0,0.647447339
CDCA2,0,0.646241295
STK33,0,0.645969918
DERA,0,0.645958758
RFTN2,0,0.644407835
PDLIM5,0,0.644247496
PDE3A,0,0.642773714
CRYZ,0,0.642454646
RGS16,0,0.64072757
COBL,0,0.639653689
PAX8,0,0.63901031
TTYH2,0,0.638702214
FKBP10,0,0.637229166
ZNF385B,0,0.635958158
CDCA8,0,0.635499228
PPP1R3C,0,0.63423519
KIF15,0,0.633512951
SLC1A3,0,0.632764451
AC006296.3,0,0.6312912
RGS20,0,0.629103392
CELSR1,0,0.628689736
RAD51AP1,0,0.628360082
AC002454.1,0,0.627682034
PAH,0,0.62715875
AGTR1,0,0.625730036
AC119674.1,0,0.625490781
GAS2L3,0,0.625287637
NOTCH2,0,0.621262775
LINC01579,0,0.620872435
ARHGAP11A,0,0.618584257
TLL1,0,0.618076564
MITF,0,0.618011475
SALL1,0,0.617385968
COL9A1,0,0.616128381
AL138799.4,0,0.613635962
SLC6A5,0,0.611364556
TNS1,0,0.610302826
TICRR,0,0.609711746
NR3C2,0,0.608990567
PAX7,0,0.608335741
CPLX4,0,0.607878066
SLC15A2,0,0.607422298
NOSTRIN,0,0.607274145
DDIAS,0,0.607211534
CYP26B1,0,0.606644529
POU6F2,0,0.605971621
ASCL1,0,0.603503867
CFAP54,0,0.601565761
HIST1H3B,0,0.598652336
AC091078.1,0,0.598508383
COL5A2,0,0.59841712
PLPPR4,0,0.597086618
KIF20A,0,0.596956409
BUB1,0,0.595205635
ILDR2,0,0.595042465
MYO5C,0,0.590642471
CENPK,0,0.590639727
DMRTA2,0,0.589458672
FGFR3,0,0.588886754
MEGF10,0,0.587548459
AC108721.2,0,0.587121327
SHCBP1,0,0.586559177
RREB1,0,0.585886752
POU4F1,0,0.584787449
TGFB2,0,0.584151323
HSPA6,0,0.582901576
SLC26A11,0,0.581278059
ADAMTS17,0,0.579049588
RNASEH2B,0,0.577182038
HOXB3,0,0.576530916
FAM135B,0,0.574738356
PDGFRB,0,0.574144099
CHEK1,0,0.572852001
ST8SIA5,0,0.572216232
TM4SF1,0,0.571915205
IMPA2,0,0.57123987
CDK1,0,0.570398774
KCNJ2,0,0.569223476
CLSPN,0,0.568241221
MIRLET7BHG,0,0.568139329
ADAMTS3,0,0.566678185
MYO10,0,0.566287731
MOXD1,0,0.566073066
CDC25C,0,0.56578036
WDR62,0,0.56490403
HMGA2,0,0.564720559
HMMR,0,0.564538218
MT3,0,0.56334752
BAALC-AS2,0,0.563042126
CLU,0,0.562404112
AEBP1,0,0.562121526
CLDN5,0,0.561865722
AR,0,0.56091116
SPC25,0,0.560691408
LRP2,0,0.559941936
ITPKB,0,0.559109166
PRR5L,0,0.557368035
KCNH1,0,0.556923715
DSN1,0,0.556635818
PTPRT,0,0.556086139
NID1,0,0.555749667
SOX3,0,0.554355669
CENPI,0,0.553729202
AQP4,0,0.553541399
LAMA3,0,0.553130353
WNT5A,0,0.552986584
MEIS2,0,0.552730774
SUCLG2,0,0.55229172
S1PR3,0,0.551984235
CKAP2L,0,0.548954439
APCDD1,0,0.547789348
DYRK4,0,0.547625919
EDNRB,0,0.545996423
LINC01307,0,0.545540721
LYPD6,0,0.545223393
WSCD1,0,0.543500554
ZFPM2,0,0.542655002
LIPG,0,0.541506607
AL591686.2,0,0.541427933
CYP27A1,0,0.541170173
KLHL14,0,0.539481112
CACNA2D3,0,0.539476601
PRTG,0,0.537968009
AL137017.1,0,0.537431765
ARHGAP10,0,0.5370331
AC011921.1,0,0.536617712
PLCE1,0,0.535135095
AC005229.5,0,0.53387473
LRIG1,0,0.533641734
MND1,0,0.533156736
HS3ST4,0,0.532998082
COL25A1,0,0.532643132
GLIS3,0,0.532018471
SNTB1,0,0.531830979
IFITM2,0,0.531617093
PDPN,0,0.531060423
CALY,0,0.53066198
SOX9,0,0.530359165
SHROOM3,0,0.530126696
ECT2,0,0.529449007
PIEZO2,0,0.528544865
VWF,0,0.52850219
KANK2,0,0.528259377
PARP4,0,0.527790099
ITM2A,0,0.527111163
JAM2,0,0.52672025
DOCK1,0,0.526321717
PIMREG,0,0.526021473
RAMP2,0,0.525762712
BNC2,0,0.524757244
LMX1B,0,0.5243158
HEY2,0,0.524007814
HES1,0,0.523116479
PREX1,0,0.523009553
CYYR1,0,0.522118368
SLC35F4,0,0.521797242
HBB,0,0.521690233
AIF1L,0,0.520749384
ZFP36L1,0,0.518365586
PDLIM3,0,0.518301394
AC022034.3,0,0.516836758
GATM,0,0.516282796
RIC3-DT,0,0.516223042
CDC20,0,0.516122376
CREB5,0,0.516039723
PAX2,0,0.515411722
PAX6,0,0.514895369
ECSCR,0,0.513119521
SMC4,0,0.513037163
MCM6,0,0.512343732
CRYAB,0,0.511427724
LIMD1,0,0.511148872
CYBRD1,0,0.510446786
LAMA4,0,0.510210329
TGIF2,0,0.507256182
TMEM123,0,0.506992604
AC126407.1,0,0.506273981
LDLRAD3,0,0.506148316
ADAMTS9-AS2,0,0.505521481
MBP,0,0.50534144
CDH9,0,0.504475394
CYP26C1,0,0.504128043
PRC1,0,0.50402729
AC024588.1,0,0.503859324
HBG2,0,0.50353606
MXD3,0,0.50320571
TNR,0,0.503082544
EEPD1,0,0.503033483
UST,0,0.50262307
TCF4,0,0.502506592
ANTXR2,0,0.502347604
IGFBP7,0,0.502121342
ABCC9,0,0.501866726
SPRY1,0,0.501695038
S1PR1,0,0.501384571
FAM111B,0,0.501174855
CCNB1,0,0.500921536
ITPR2,0,0.500889027
CCNJL,0,0.500597546
PCLAF,0,0.499777014
ARHGEF26-AS1,0,0.498290292
METRN,0,0.498133678
MYBL1,0,0.498046088
TRIM59,0,0.497967489
DMBX1,0,0.497770225
ZWINT,0,0.496557515
APOLD1,0,0.496538516
FOXB1,0,0.495703374
MCM2,0,0.495244371
NDST3,0,0.494742245
LMO1,0,0.494591381
MAL,0,0.494292903
NAALADL2,0,0.494280811
PGM5P4-AS1,0,0.494257971
PLXNA2,0,0.493783014
DEPDC1,0,0.493642621
MAP3K20,0,0.493315754
IQGAP2,0,0.493103165
ZDHHC22,0,0.492663506
RAD54L,0,0.492461711
SLC38A5,0,0.492348893
AC073475.1,0,0.492307609
AC026329.1,0,0.490874577
ANLN,0,0.489898657
SOX1-OT,0,0.489723436
FLNC,0,0.488178636
IFI16,0,0.487061922
BTN2A2,0,0.486216325
SGO2,0,0.486124537
SLC9A3R1,0,0.485740648
IGSF11,0,0.485445755
TMEM158,0,0.484327303
ABCG2,0,0.483942106
ROBO2,0,0.483901305
LINC02055,0,0.483895354
PARM1,0,0.483541543
ZFPM2-AS1,0,0.481701186
SOX5,0,0.481430419
CCDC102B,0,0.481411295
RGS5,0,0.481279354
ACBD7,0,0.479997001
LINC01798,0,0.479550957
PRSS12,0,0.479200845
USP43,0,0.478586182
BRCA1,0,0.478463599
GABRB1,0,0.478455464
PCGF5,0,0.478444025
PSRC1,0,0.478035897
ADAMTSL1,0,0.477711834
MT2A,0,0.477559061
TACR3,0,0.477276997
OBI1-AS1,0,0.477202957
MED12L,0,0.476444986
LITAF,0,0.475787149
NXPH1,0,0.475486867
CDH7,0,0.47548375
UBE2C,0,0.474449923
MAOA,0,0.474228061
HIST1H1B,0,0.473588175
ELL2,0,0.47340278
KLHDC8A,0,0.472824276
HBA2,0,0.472183584
HHIP,0,0.471905073
RGS22,0,0.471619372
COL3A1,0,0.471522389
DCN,0,0.471408942
MCM10,0,0.4712624
GNG11,0,0.471019903
VIPR2,0,0.470122712
CCDC15,0,0.468403369
ABCD2,0,0.468388127
HMGB2,0,0.468093353
STIL,0,0.467415214
RBMS3-AS2,0,0.467330281
FST,0,0.466236828
LINC01558,0,0.465225432
SEMA3A,0,0.464605727
AL360012.1,0,0.464186353
RIT2,0,0.464182194
SATB2,0,0.463431815
MSN,0,0.463268985
PAX8-AS1,0,0.463083402
FABP7,0,0.462976281
KLF4,0,0.462692987
PTPRZ1,0,0.462094006
TCF4-AS2,0,0.461987133
PCSK1,0,0.460518307
SLCO2B1,0,0.459525572
TIMP1,0,0.459421712
CACNB2,0,0.45919991
AL034348.1,0,0.458579144
AC013391.3,0,0.458474901
BAALC,0,0.458032074
CDH20,0,0.45770041
FBLN7,0,0.45660774
RGCC,0,0.456158324
SATB1-AS1,0,0.455662029
NES,0,0.455631135
UACA,0,0.45515011
AC114971.1,0,0.454207541
KIF26B,0,0.453763168
VEPH1,0,0.45305844
AC007389.1,0,0.452965432
ELN,0,0.452528691
ABCB4,0,0.451702128
ROBO4,0,0.450899863
TRMT9B,0,0.450427559
NKAIN4,0,0.450357387
PCSK5,0,0.450294477
KNTC1,0,0.449000486
MIS18BP1,0,0.44862347
PRELID2,0,0.447385433
FSTL1,0,0.44705263
NFATC4,0,0.446995076
DGKB,0,0.446565094
SLC4A2,0,0.446496292
LIMD1-AS1,0,0.446305073
CNTLN,0,0.445521478
P2RY14,0,0.445321666
EGFR,0,0.445149225
IFITM3,0,0.444871741
HIST1H3F,0,0.444339009
SIPA1L1,0,0.444314672
LINC00513,0,0.443916556
HIST1H1A,0,0.443816434
CKAP2,0,0.442729458
PLK1,0,0.44228251
PHLDB2,0,0.441541324
HES6,0,0.441537422
MIR9-3HG,0,0.440883948
FBXL7,0,0.440414798
BTBD17,0,0.439844118
INPP4B,0,0.439626697
MAST4,0,0.439561876
HOXA3,0,0.439559907
BRIP1,0,0.438183459
NKAIN2,0,0.438167369
DPF3,0,0.436949817
AC008525.1,0,0.436664752
TCF19,0,0.436624164
AC092958.1,0,0.436376013
TEAD2,0,0.436142664
ARHGEF26,0,0.436112347
SPARC,0,0.435888733
SLN,0,0.43582773
GPR156,0,0.435461299
RELN,0,0.435064577
LEF1,0,0.43479992
PLAUR,0,0.434715408
SLC24A4,0,0.434655765
AC104781.2,0,0.434644578
VRK2,0,0.434264774
OIP5,0,0.433968989
GINS4,0,0.433947723
EBF4,0,0.433825817
AL356124.1,0,0.433011613
CDH6,0,0.432832554
AL353784.1,0,0.432434381
GPR139,0,0.432168068
NDST4,0,0.432065291
CTSC,0,0.431864921
PARP14,0,0.431342898
SFRP1,0,0.431323757
AC114763.1,0,0.4306976
CDKN2C,0,0.430435164
SMAD3,0,0.429121205
PRKG1,0,0.42890934
ARHGAP31,0,0.428692388
AL157895.1,0,0.428226131
NEK7,0,0.427995573
DPYD-AS1,0,0.427757088
ITGB5,0,0.427397914
C1orf54,0,0.427064845
CEP152,0,0.426909272
LGR4,0,0.426839161
NETO1,0,0.426781203
ITGA6,0,0.425794888
INPPL1,0,0.425640361
UTRN,0,0.425289704
SLC17A6,0,0.425249972
PLIN3,0,0.425041948
SNX7,0,0.424769568
CCDC150,0,0.424619376
GAS7,0,0.424337807
TYROBP,0,0.423239228
AC091646.1,0,0.422219615
LINC02306,0,0.421943614
TENT5A,0,0.421795226
SPON1,0,0.421215757
RBPMS,0,0.421136856
ARAP2,0,0.420927338
CLIP1-AS1,0,0.420900944
AC091138.1,0,0.420301967
NTN1,0,0.420044278
HMGA2-AS1,0,0.418675102
CA14,0,0.418592684
CCNB2,0,0.41824788
DLC1,0,0.417679182
ANKRD6,0,0.417568263
TMEM132B,0,0.417534056
COL1A2,0,0.417367356
SRGN,0,0.417218833
SAPCD2,0,0.416442591
HIST1H2AI,0,0.416096161
AL359546.1,0,0.415025571
BCHE,0,0.414088304
FNDC1,0,0.413920142
LINC01088,0,0.41382864
GNG12,0,0.413629839
CARMIL1,0,0.413335342
LMCD1-AS1,0,0.413106695
CYYR1-AS1,0,0.412515282
CTNNA3,0,0.4117636
SLC30A3,0,0.411413371
NDE1,0,0.411377881
SSTR2,0,0.410434785
AP000962.1,0,0.409903812
PCDH15,0,0.40987945
RASSF3,0,0.409492188
BLM,0,0.409374924
CSGALNACT1,0,0.409292341
SHOC1,0,0.4092751
NWD2,0,0.409251389
GLDC,0,0.408972956
NEFL,0,0.408632767
AL512380.1,0,0.40858288
FZD10,0,0.408298779
ARHGAP24,0,0.408000141
CALCRL,0,0.407837479
AC113414.1,0,0.406914146
AP002026.1,0,0.406113314
C21orf58,0,0.404995846
NFIC,0,0.404431227
SFXN5,0,0.404315004
ADCYAP1R1,0,0.403995227
LBX1-AS1,0,0.40362954
GABRG3,0,0.402927391
HIST1H3E,0,0.402829211
TANC1,0,0.402549481
PRCP,0,0.402412641
S100B,0,0.401551493
UNC5D,0,0.401295693
NLGN1,0,0.401077531
ZFHX3,0,0.400805167
SOX8,0,0.400636132
MECOM,0,0.400062082
HIGD1B,0,0.399991573
AL590399.5,0,0.399662698
PANTR1,0,0.399536107
SNHG31,0,0.399395507
ADCY2,0,0.399046905
PLTP,0,0.398867245
APOE,0,0.398851935
STARD13,0,0.398762072
KCNT2,0,0.398122421
PTPN13,0,0.397899915
LINC01091,0,0.397782845
IRX5,0,0.397604736
AC016831.7,0,0.397250425
MGST1,0,0.396876959
PALMD,0,0.3964495
NEURL1B,0,0.396322645
TUBB6,0,0.395870275
AIM2,0,0.395644857
DCDC1,0,0.395114796
DOK5,0,0.395004969
BMP5,0,0.39440319
ROBO3,0,0.394312664
PDGFRA,0,0.393721403
EMP2,0,0.393514992
ESAM,0,0.393472725
MERTK,0,0.393180054
FAM126A,0,0.39290051
ARHGAP18,0,0.392831295
ZNF521,0,0.392381999
RAD51B,0,0.391975609
SH3GL2,0,0.391950407
HDAC9,0,0.391618123
BAG3,0,0.391592056
ZNF367,0,0.391403617
OLFML2B,0,0.390300203
S100A11,0,0.389631513
PTN,0,0.389592847
ANXA5,0,0.389353998
AC090531.1,0,0.389244483
AC104596.1,0,0.389067286
MASP1,0,0.388135692
B2M,0,0.387789767
AKNAD1,0,0.387644736
PON2,0,0.386923943
LMO3,0,0.38682704
CYBA,0,0.386531493
TFAP2B,0,0.385827248
CCN1,0,0.385675392
PDE1A,0,0.385189265
SNTG1,0,0.384795394
GYG1,0,0.384772014
GPR39,0,0.384491429
LINC02249,0,0.384390555
NUP62CL,0,0.383965643
HTRA1,0,0.383599772
DPY19L4,0,0.383501613
ZFP36L2,0,0.383346631
MIR4500HG,0,0.383160254
SDK2,0,0.382927915
HS3ST3A1,0,0.382818265
MTMR10,0,0.382773545
SOX9-AS1,0,0.381489308
RSPO3,0,0.381338866
CENPU,0,0.381330622
ZEB1-AS1,0,0.381167646
AURKA,0,0.380952494
LRATD2,0,0.380411262
BMPR1B,0,0.38037846
RPRML,0,0.379702884
SAMD13,0,0.37961665
C3,0,0.379322259
AC092944.1,0,0.379241033
BARD1,0,0.378779844
11-Mar,0,0.377986047
ZGRF1,0,0.377885958
SETBP1,0,0.377769182
CYP20A1,0,0.377111339
HLA-A,0,0.376968377
AKNA,0,0.376521403
CGAS,0,0.376304348
FN1,0,0.376263567
STK17A,0,0.376063427
CENPN,0,0.375999536
CD99,0,0.375670278
DPYD,0,0.375289612
STC2,0,0.375229861
GABBR2,0,0.374977676
NHLH1,0,0.374938417
LINC00581,0,0.374711213
RIMBP2,0,0.374592382
CDH23,0,0.374384546
CENPA,0,0.374122753
DNAH11,0,0.373877217
BOC,0,0.373607819
AC092958.4,0,0.372952448
DOCK10,0,0.372800626
ADAMTS9,0,0.371916933
GEM,0,0.371707723
AC105230.1,0,0.371378644
SEMA5A,0,0.371197375
MYO3A,0,0.371152435
LINC01572,0,0.370579705
UNC13C,0,0.370573033
IGDCC4,0,0.370277873
NEK2,0,0.369893146
TGIF1,0,0.369782764
OMD,0,0.369667871
TTF2,0,0.369324379
NTRK2,0,0.369282976
LBX1,0,0.368857663
PKMYT1,0,0.368773923
SLC30A1,0,0.368682488
SASH1,0,0.368659069
CHST3,0,0.368582467
DPH6-DT,0,0.36832936
FAM210B,0,0.367885596
SPHKAP,0,0.367157001
SYT6,0,0.367096941
PLCB1,0,0.366816489
HSPB1,0,0.366715303
EPAS1,0,0.366474439
QKI,0,0.365896575
DLEU2,0,0.365890174
AC135782.1,0,0.365785483
EAF2,0,0.365099078
DSCAML1,0,0.364915206
RASGRP1,0,0.364199765
SLA,0,0.363714513
AC110491.2,0,0.363666497
ADARB2,0,0.363567803
GRIK4,0,0.363419323
SCUBE2,0,0.363376191
CDKN3,0,0.362822914
FOXN2,0,0.362744424
FANCD2,0,0.362253951
SELENOP,0,0.36216021
CDCA7,0,0.361349625
GADD45G,0,0.361243063
GSN,0,0.360861041
MEIS1,0,0.360442584
DSCAM,0,0.360254103
PDZRN3,0,0.359246327
NR3C1,0,0.359218199
TNFRSF19,0,0.358872051
ATP8B4,0,0.358034014
RACGAP1,0,0.357768124
CDCA3,0,0.357670886
RBMS3,0,0.357380668
FAT3,0,0.357294811
GAREM2,0,0.357172136
LINC00928,0,0.356716032
LRRTM3,0,0.3562714
AASS,0,0.356218602
TREM2,0,0.35613303
LPAR4,0,0.35516894
ZNRF3,0,0.354852731
PPP1R14C,0,0.35463842
WWC1,0,0.354061718
TCF4-AS1,0,0.353739038
FZD10-AS1,0,0.353594805
NCALD,0,0.353538227
ZNF438,0,0.353503667
IRX3,0,0.35343186
AL033504.1,0,0.353388918
FANCI,0,0.353295145
SLC4A10,0,0.352852506
RYR3,0,0.352330626
TTC23,0,0.351452056
MEIS1-AS2,0,0.351418312
AP002518.2,0,0.35111604
GRIN2A,0,0.350822676
DLL3,0,0.350391633
AC079465.1,0,0.349283053
RNF217,0,0.348919924
FCGRT,0,0.348626869
ZIC1,0,0.348545851
HES5,0,0.348373849
PLK4,0,0.348207614
ALCAM,0,0.348053775
RNF217-AS1,0,0.348018187
CXXC4,0,0.347119944
LINC00587,0,0.347085885
A2M,0,0.346784584
STK17B,0,0.346737813
TYMS,0,0.346705581
CAST,0,0.345661936
WIPF1,0,0.345343969
PLEKHA7,0,0.344858784
CASZ1,0,0.344452061
GALNT18,0,0.344053271
AC078909.1,0,0.344004806
CYP7B1,0,0.343681507
FAM189A1,0,0.343463454
KCNJ6,0,0.343442676
FGF2,0,0.34335238
MIR137HG,0,0.343226071
AC004158.1,0,0.34296138
GJC1,0,0.342454268
ZBTB16,0,0.342061082
RBP1,0,0.342048084
SSTR1,0,0.34108133
PRDM8,0,0.340815688
UNC5B,0,0.340742917
TYW3,0,0.340128535
COL11A1,0,0.340018756
H2AFX,0,0.339826828
SV2B,0,0.339594072
AC007405.1,0,0.339141915
E2F3,0,0.339118002
ARHGEF28,0,0.339085856
ZNF90,0,0.338709734
CDCA5,0,0.338014425
PLXDC2,0,0.337873517
ITGA7,0,0.33771456
PDE8A,0,0.337466383
AC007364.1,0,0.337364308
AGBL4,0,0.337308675
FREM2,0,0.336992232
RPH3A,0,0.336645283
LRP4,0,0.336511158
PCAT1,0,0.336373363
ID3,0,0.336193729
LPAR6,0,0.335903186
NDNF,0,0.335382603
LINC02082,0,0.33514375
FBN2,0,0.334954633
SLC25A13,0,0.334673619
STN1,0,0.334578574
MPP5,0,0.334493522
HMOX1,0,0.334002139
DNAJB1,0,0.333967242
AL137139.2,0,0.333893584
VAMP5,0,0.333577288
NKD1,0,0.333473623
PLP1,0,0.333400155
CCNA2,0,0.333080452
NOS1AP,0,0.33304381
SV2C,0,0.333038736
CSMD2,0,0.332758342
CDC25A,0,0.332705034
ATP2B2,0,0.33256178
KCNK1,0,0.331800836
PDE1C,0,0.331365855
BTG2,0,0.33092972
ADAM7,0,0.330889686
PLPPR1,0,0.3308489
GREM2,0,0.330359796
INCENP,0,0.330181859
INHBB,0,0.330095651
CDH8,0,0.330040497
ADARB2-AS1,0,0.329596883
CIT,0,0.329339082
LINC02233,0,0.329222331
CXXC5,0,0.329128245
PLEKHH2,0,0.329093034
IQCJ-SCHIP1,0,0.329030404
RFX4,0,0.328555169
PARPBP,0,0.3283733
ELK3,0,0.327585233
VGLL3,0,0.327312141
DACH2,0,0.327246631
PRDM5,0,0.327024879
DISP3,0,0.326688197
RPGR,0,0.326517916
LINC01619,0,0.326138579
ICA1,0,0.326098036
RASEF,0,0.325615842
ATP2B4,0,0.325495299
TSHZ2,0,0.325415419
WHRN,0,0.325053495
TNFRSF25,0,0.324833992
AC104123.1,0,0.324585227
SLC7A5,0,0.324490324
LRRC20,0,0.323956913
LINC00472,0,0.323810284
ISOC1,0,0.323441104
IQCH-AS1,0,0.323253492
GPR26,0,0.323050856
ERBB4,0,0.322793827
STARD13-AS,0,0.322434817
SCARA3,0,0.322359877
NEAT1,0,0.321735148
SERPINH1,0,0.320998727
SAMD4A,0,0.320473824
AL591519.1,0,0.320149129
STXBP4,0,0.320066026
FAM83D,0,0.319855541
HIST1H3G,0,0.319674754
AF117829.1,0,0.319544917
ABTB2,0,0.319179819
SYNE2,0,0.319148855
HSPA1B,0,0.318251082
ID1,0,0.317581863
E2F2,0,0.317537672
AL355835.1,0,0.316968461
BHLHE22,0,0.316906993
AP001407.1,0,0.316803237
DLEU1,0,0.316692048
MIR99AHG,0,0.315691575
AL589935.1,0,0.315590995
WWC2,0,0.315100342
PAWR,0,0.314953804
MCUB,0,0.31443146
BORA,0,0.314381807
AC079298.3,0,0.313627032
DLG1,0,0.313572366
SPATA1,0,0.313498489
KIT,0,0.313291774
TNIP1,0,0.313098313
CENPH,0,0.31301207
AC013652.1,0,0.312569992
NOTCH3,0,0.312356017
ECM2,0,0.312231825
MCM3,0,0.312033014
SMO,0,0.311779533
NCEH1,0,0.3107961
RHBDL3,0,0.309524433
NRN1,0,0.309442135
AC007563.2,0,0.30886831
FOXP4,0,0.30876149
