,pValue,logFC
NWD1,0,0.548720896
CTC-575C13.4,0,0.547947465
TRDD3,0,0.547347848
C21orf131,0,0.547053586
FAM69A,0,0.546915699
DDO,0,0.546746611
MRAP,0,0.546610092
RP11-815N9.2,0,0.544620823
CTD-2201E9.4,0,0.544492746
RP11-475C16.2,0,0.544324961
MAGI2,0,0.544058591
GAPDHP72,0,0.543563198
MIR4770,0,0.542911862
TAB2.1,0,0.542436709
XPO7.1,0,0.542341574
CCL24,0,0.541748486
RP11-561I11.4,0,0.541720788
RP11-522M21.2,0,0.540273927
MIR4446,0,0.539788685
TRAJ27,0,0.539134178
TRAV15,0,0.537522128
RNY4P24,0,0.537069394
RNF43,0,0.536000681
AL133243.4,0,0.535133672
RP11-63E9.1,0,0.53412396
RF00026,0,0.533594833
RP4-631H13.4,0,0.533305069
RNU6-667P,0,0.532863547
RP11-138D23.2,0,0.53270739
RP5-916O11.3,0,0.532634118
ASPH,0,0.532299602
RP11-367J7.4,0,0.531606581
RP11-116D17.2,0,0.531605218
RNU6-1228P,0,0.531407565
RP11-5N23.2,0,0.531122301
RP11-44K6.5,0,0.531014661
RPL7P47,0,0.530768831
RP1-90G24.11,0,0.53047245
RP11-91K8.1,0,0.53042716
CCDC102B.1,0,0.530303043
RP1-124C6.1,0,0.529523737
RP11-810C20.1.1,0,0.529145447
RNF219-AS1,0,0.52906488
FAM20A,0,0.528884964
IL33,0,0.528758215
GUCA1A,0,0.528005869
CTD-2506J14.1,0,0.527801731
POSTN,0,0.526908299
THSD7B.1,0,0.526032807
AC073333.8,0,0.525862965
TNIP3,0,0.524373577
RP4-675G8.3,0,0.522050486
RP11-544K18.2,0,0.52198583
RP4-777O23.1,0,0.521866849
RN7SL587P,0,0.521054178
RP5-1100I6.2,0,0.520940179
RP11-391J2.1,0,0.52061529
SLN,0,0.519955227
RP11-321G12.1,0,0.518902443
RP11-555H7.2,0,0.518190773
MAP1LC3A,0,0.51797202
SYCE3,0,0.517396817
RP11-36I17.2,0,0.517260025
RP11-67L2.2,0,0.516798279
GRHL3,0,0.5166344
MIR4464,0,0.516113784
RP11-568G20.2,0,0.51573162
CCR2,0,0.515471933
LITAF.1,0,0.51525501
IFIT1,0,0.514922379
GSN,0,0.513191868
RP3-445O10.1,0,0.512996096
CTC-304I17.6,0,0.512971594
CTB-147N14.4,0,0.512957974
RP11-138B9.1,0,0.512466162
EMP2,0,0.512204769
ATXN10.1,0,0.51144583
RP11-269F21.1,0,0.511287139
TMC3,0,0.511031789
RP11-477N12.6,0,0.510752318
C1orf185,0,0.510637296
VIL1,0,0.510293755
ITPR1.1,0,0.510258675
FGF3.1,0,0.509761615
WDR49,0,0.509322413
RP11-513M1.1,0,0.509215445
RP11-164P12.5,0,0.508925829
OR5B3,0,0.508699392
GS1-124K5.12.1,0,0.508234424
CLEC2B,0,0.50674347
SEMA6A,0,0.506352461
TTN,0,0.505469348
RNU6-14P,0,0.505370099
C6orf52,0,0.505112694
SULT1E1,0,0.504941401
ADD1.1,0,0.504844092
RP11-641A6.6,0,0.504710687
RP11-16N2.1,0,0.504449468
RPL30P14,0,0.504311632
RNU6-823P,0,0.503436522
RP11-34C15.2,0,0.502387889
KRTAP13-1,0,0.502262782
RP11-324P9.1,0,0.502193909
RPL34P29,0,0.501985998
RP11-493L12.4,0,0.501661123
SPG20.2,0,0.501611466
BZW2,0,0.501095495
RPE65,0,0.501016166
AC009965.2,0,0.500187284
XXbac-BPG118E17.6,0,0.500013745
RP4-654J19.1,0,0.499879318
NCOA7.2,0,0.499872554
EPHB2.1,0,0.499563728
SLN.1,0,0.499314752
IFIT2,0,0.499267022
RP11-326A13.3,0,0.499254121
RP11-571I18.4,0,0.498294996
SLC26A7.1,0,0.498254855
CTD-2380F24.1,0,0.498172744
PHKG1,0,0.498067703
TFPI,0,0.497952798
RP11-1012E15.2,0,0.497870297
RP11-776K3.1,0,0.497744135
UNC13C,0,0.497734994
RP1-167O22.1,0,0.497692859
SLCO1C1,0,0.497647419
SPINK1,0,0.49735211
RP11-297L17.6,0,0.496813286
RP11-318G21.3,0,0.496523497
RN7SKP14,0,0.49588356
RP11-667K14.5,0,0.495651651
RNU6-117P,0,0.49552457
MST1L,0,0.495130855
RP11-544A12.4,0,0.495025784
CTA-398F10.1,0,0.494866203
RP11-281A20.2,0,0.493931014
SLITRK2.1,0,0.493927179
MAP2K1.1,0,0.493825468
RIPPLY1,0,0.493692907
RF00019.8,0,0.493649409
HSD11B1,0,0.493313333
RNU6-565P,0,0.49308288
CTD-2509G16.5.1,0,0.492595174
RP11-26L20.5,0,0.491770086
AC068138.1,0,0.491431421
AC009477.6,0,0.491133653
GPR22,0,0.491003239
METTL21C,0,0.490164314
LTF,0,0.489830083
RN7SL244P,0,0.489710665
AC091969.1,0,0.489546119
RP11-160H22.4,0,0.488984161
RP11-489E7.1,0,0.488809406
CD24L4,0,0.488510673
RNU6-884P,0,0.488329919
RP1-154K9.2,0,0.488314252
RP11-499F3.1,0,0.488196761
HAMP.1,0,0.487714005
RP5-833A20.1,0,0.487505053
AP000472.2,0,0.487115158
LINC00189,0,0.486979004
RP11-327P2.6,0,0.486708795
RP11-197N18.8,0,0.48670419
U95743.1,0,0.486463847
LAMB3,0,0.486347459
RF00019.27,0,0.486048719
EP400NL.1,0,0.485986018
RPS15AP5,0,0.485750407
ATP13A4,0,0.485170139
AC008069.1,0,0.48511134
RP11-187E13.3,0,0.485083026
RP11-624J12.1,0,0.48502088
RP11-562A8.3,0,0.484652603
CTD-2050B12.2.1,0,0.48464267
RP11-400K9.4,0,0.484288398
PPP2R5A.1,0,0.484270901
LINC00052,0,0.483796555
C9orf3.1,0,0.483687733
RP6-91H8.2,0,0.483421672
RP11-142J21.2,0,0.483346634
AGTR1.1,0,0.48320403
AC009158.1,0,0.482848335
OSCP1,0,0.482554193
RP11-68I3.2,0,0.482507757
SEPP1,0,0.482507367
SH3KBP1.1,0,0.482488734
RP11-212D19.5,0,0.48199991
RTP2,0,0.481803764
RP4-712E4.4,0,0.481642663
AP000884.4,0,0.481313141
AC034110.1,0,0.48095994
RP11-61G23.1,0,0.480813775
RP11-702B10.1,0,0.480762198
RNU6-277P,0,0.480604866
AC079612.1,0,0.480573249
PCDHA1,0,0.48003973
TMC1,0,0.479886335
RP11-330C7.1,0,0.479582557
RP6-11O7.2,0,0.479250952
LINC00165,0,0.479232875
MIR206,0,0.479126678
RP11-793E15.1,0,0.479053794
RP11-57H24.1,0,0.478998424
SH2D3A,0,0.478862734
B3GNT2.1,0,0.478715345
PM20D2,0,0.478679579
RF00017.1,0,0.478288522
CTD-2547L16.2,0,0.478035856
RP11-665C14.2,0,0.477783959
MFF.1,0,0.477569187
RP11-250B2.4,0,0.47738622
RP11-515O17.2,0,0.477121078
MTMR3.1,0,0.477049232
RP11-37B2.1,0,0.477047146
RF00019.79,0,0.476868422
RP11-789C17.1,0,0.476678724
AKAP14,0,0.476577551
RP4-715N11.2,0,0.476512254
FOXP2.4,0,0.476271804
OARD1,0,0.475738942
TRPV3,0,0.475707675
HNF4G.1,0,0.475373107
Z99756.1,0,0.475263998
RP11-335I12.2,0,0.475145357
RP11-302K17.3,0,0.475067532
KRTAP13P1,0,0.475052767
RP4-806M20.3,0,0.474985124
RP11-343C2.9,0,0.474867844
TNFSF13B,0,0.474652871
TRAJ32.1,0,0.474402873
RP4-718N17.2,0,0.474204452
RP4-668G5.1,0,0.473718837
CTB-52I2.4.2,0,0.473378963
DBNDD1.1,0,0.473317719
RP11-266E6.3,0,0.473231416
RP11-107N7.1,0,0.473189516
RP11-459E5.1,0,0.47318655
RP11-476O21.1.1,0,0.473173029
RP11-21G15.1,0,0.473148495
NLRP10,0,0.473022831
SP110,0,0.472956403
RP11-575I8.1,0,0.472782407
RP11-567O18.1,0,0.47264292
RP5-872K7.8,0,0.472570842
DMD.3,0,0.472548983
CTC-471C19.2,0,0.472511156
RP11-32D16.1,0,0.47249989
CTC-455F18.3,0,0.472323854
AC005703.2,0,0.47191339
RP11-1123I8.1,0,0.471778618
RP11-187E13.1,0,0.471644138
RNA5SP223,0,0.47149458
RP11-116D2.1,0,0.47125535
EBF2,0,0.470849139
SLA,0,0.47059289
RP11-184I16.2,0,0.470503099
NUDT13,0,0.470454316
RP11-320P7.2,0,0.47031006
RP11-374F3.4,0,0.470117679
SOSTDC1,0,0.47006108
RF00019.95,0,0.470000828
RP11-597D13.9,0,0.46996565
CTC-297N7.9,0,0.469789907
RSL24D1P11,0,0.469750662
RF02173,0,0.469692089
RP11-430M15.1,0,0.469536609
TRAJ57,0,0.469364752
HMGB1P8,0,0.469291045
ZBTB20.4,0,0.468921376
RP11-61G23.2,0,0.46885009
RP1-151B14.9,0,0.468675051
RP11-212J19.1,0,0.46862338
RP11-108K3.4,0,0.46853687
RNU6-250P,0,0.468423195
AP003068.22,0,0.468349795
RP1-86D1.5,0,0.468289811
GHRL,0,0.46822312
APBB2.1,0,0.467793886
CHRNA5,0,0.46768053
SHH,0,0.467591474
CCSER2.1,0,0.467410753
CTC-458G6.2,0,0.467233198
MIR3973,0,0.467222813
TDO2,0,0.467183576
RP11-679B17.2,0,0.46705282
MIR3612,0,0.466970515
SGIP1.2,0,0.46696064
RF00019.35,0,0.466742235
RP11-730A19.9,0,0.466380046
DRD3,0,0.466293189
CCSAP,0,0.466109649
PPP1R16B,0,0.466052653
RP11-557H15.5,0,0.465883067
RP11-265D17.2,0,0.46576645
RP11-77K12.3,0,0.465766274
ATP8B5P.1,0,0.465441018
MLIP.1,0,0.465360524
EVI5L.1,0,0.465221656
C22orf34.1,0,0.464937192
RP11-64I17.1,0,0.464866895
RP1-37J18.2.1,0,0.464237988
GHRL.1,0,0.464162557
AC093639.1,0,0.464150201
RNU6-758P,0,0.464079585
RP11-191F9.3,0,0.464052302
FAM49A.1,0,0.46376608
LPA,0,0.462729546
RP11-667K14.5.1,0,0.462686986
SCGB2B2,0,0.462514438
KRT80,0,0.462375979
ACSM1,0,0.462350831
RNU6-939P,0,0.462282
COL28A1,0,0.462249115
SEMA4D,0,0.462157981
TRAK1.2,0,0.462149008
RP11-6I2.4,0,0.462141397
RP11-3J10.4,0,0.461900401
FADS6,0,0.461894914
RP11-298E2.2,0,0.461892108
RP11-21L1.1,0,0.461886266
RP11-511B23.1,0,0.461853435
RN7SKP92,0,0.461845227
RP11-620J15.1,0,0.461830111
PCAT1.2,0,0.46175397
RNU6-308P,0,0.461590219
RN7SL236P,0,0.461482235
RP4-597A16.2,0,0.461320776
RP11-431D12.1,0,0.461071108
MSANTD1.1,0,0.46103016
RP11-143J24.1.1,0,0.460803836
RP11-48G14.1,0,0.46066892
NPFF,0,0.460496654
CTC-422A18.2,0,0.460468475
FAM87B,0,0.460451838
RNA5SP349,0,0.460376974
RP11-637C24.2.1,0,0.460302328
RP11-503C24.2,0,0.460259162
TFR2.1,0,0.460170863
RNY3P11,0,0.459894177
RP11-776A13.3,0,0.459500625
RF00019.32,0,0.45944725
IQCA1.1,0,0.459338473
BCAR3.2,0,0.459330015
ANGPTL1,0,0.459293855
CSGALNACT1,0,0.459282869
RP11-536K7.3,0,0.459187701
RP6-191P20.4,0,0.459141615
SORCS1,0,0.458751689
FGF3,0,0.458734947
RNF17,0,0.458691544
AC021218.2,0,0.458488296
RP4-809F18.1,0,0.45840058
RYR1,0,0.458207385
RP11-44M6.1,0,0.458093534
BANCR,0,0.457933587
LINC00539.1,0,0.457891679
PPL,0,0.457862121
RP11-410C4.4,0,0.457688765
RNU6-1028P,0,0.457651604
RP11-375F2.2,0,0.457417443
SH2D4B,0,0.457404421
SV2B.1,0,0.457338945
CTD-3073N11.5,0,0.457054943
KB-1930G5.3,0,0.456819301
MIR455,0,0.456795674
LRRC52,0,0.456761147
AC009506.2,0,0.456746091
ZBTB20.3,0,0.45663031
ZBTB46,0,0.456493217
TFDP2.1,0,0.456301628
ABCA12,0,0.456033556
RP11-17H4.2,0,0.455631635
RP11-38O14.6,0,0.45544062
CALN1,0,0.45536641
RP11-98J9.1,0,0.455243819
RP11-390P24.1,0,0.455236592
CTD-2074D8.1,0,0.454865337
PHACTR4,0,0.454504044
RP11-674N8.1,0,0.454499421
FAM180B,0,0.45444989
FAM83F,0,0.454285354
FAM222A.1,0,0.454130555
RN7SL480P,0,0.454126421
RP11-71N10.1,0,0.454068647
RP11-161I2.1,0,0.453911415
RP11-351O1.3,0,0.453910082
HMGB3L1,0,0.453901821
MIR3619,0,0.453896273
RNU6-628P,0,0.453855794
MIR4513,0,0.453826755
RP11-174O3.3,0,0.453733901
RP11-76C10.4,0,0.45372419
C1QTNF3,0,0.453493689
RP11-433J20.2,0,0.453231184
KIAA0513.1,0,0.453216662
C7orf77.1,0,0.45320517
RP11-309E23.2,0,0.453182262
AF064858.8,0,0.453115249
CXCL8,0,0.45305472
RP11-324J3.1,0,0.453038364
MIR548AO,0,0.452898734
GPX8,0,0.452726284
RP11-397C12.1,0,0.452474261
AC093690.1,0,0.452412317
LA16c-325D7.1,0,0.452221879
RP11-571O6.2,0,0.452220615
RNU4-49P,0,0.452211022
RNU6-626P,0,0.452210348
LL22NC03-30E12.13,0,0.452106604
RP11-706J10.1,0,0.452038723
CTC-218H9.1,0,0.451699287
SCN1A,0,0.451689526
TRIP6,0,0.451647563
AC018682.7,0,0.451573024
RP4-657D16.5,0,0.451545054
DMD.2,0,0.451519556
AC093381.2,0,0.451478988
RP11-266O8.1.1,0,0.451447153
RPL17P33,0,0.451422923
IGKV1OR22-1,0,0.451415392
ABCA8,0,0.4513839
AC002407.3,0,0.45137215
RP4-742J24.2,0,0.451335535
MIR6802,0,0.451334431
SNORA30B,0,0.451327403
RP11-862L9.3.3,0,0.451245307
FERMT3.1,0,0.451196713
APOBEC3F,0,0.450944724
RP11-103J8.1,0,0.450902779
RP11-98H4.4,0,0.450843707
MIR3163,0,0.45068012
RP11-129O7.2.1,0,0.450614821
KRTAP11-1,0,0.450567661
BTNL9,0,0.450494534
ABCA9,0,0.450388213
GALNT14,0,0.450376625
LINC01395,0,0.450333929
RP11-795A2.3,0,0.45030964
RP3-394A18.1,0,0.450256942
RP11-81H14.2,0,0.450103024
C10orf55,0,0.449893281
RP11-321P16.1,0,0.449755899
RP11-152O14.4.1,0,0.449735587
GRM4,0,0.449703346
ACTBP6,0,0.449569012
RP11-1191J2.2,0,0.449486408
RP11-941H19.2,0,0.449255388
MIR203A,0,0.449252945
NKX6-2.1,0,0.449142272
RP4-737A23.2,0,0.448864617
RP5-827C21.1,0,0.448837259
ST6GALNAC2,0,0.448786903
RP11-104O19.2,0,0.44877461
ST5,0,0.448757474
RNA5SP404,0,0.44875357
AC069513.3.1,0,0.448750355
DNASE1.1,0,0.448720915
NCRNA00185,0,0.448502143
RP11-443B7.1,0,0.448483879
RP5-1125A11.4,0,0.44844751
RLBP1,0,0.448349886
RP11-18M17.2,0,0.448144064
GCK.2,0,0.44813177
EPHB1.1,0,0.447867867
RP11-973F15.1,0,0.447761278
VWA8,0,0.447754165
MIR133A1,0,0.447640992
RP11-302M6.5,0,0.447628991
CTC-359M8.1,0,0.447612541
CTC-207P7.1,0,0.447580627
SCMH1.2,0,0.447519856
PLPP2,0,0.447399318
CTD-2017C7.3,0,0.44729237
TCEB1P22,0,0.447194054
RP11-46E17.6,0,0.447074488
OARD1.1,0,0.447061843
RP11-578B16.1,0,0.446941639
C1QTNF1.2,0,0.446904969
CTC-348L14.1,0,0.446814002
GRHL2.1,0,0.446811504
RP11-509J21.2,0,0.446799119
DICER1,0,0.446762439
SLC23A2.1,0,0.446760102
CTB-134H23.3,0,0.446745449
CCDC102B,0,0.446534799
RP11-447M12.3,0,0.446522793
RP11-411K7.1,0,0.446511308
RP3-380E11.2,0,0.446298976
CTA-360L10.1.1,0,0.446297945
GNG8,0,0.446276922
AC074093.1,0,0.446255121
VGLL4.1,0,0.446191826
RP5-1177I5.3,0,0.446093589
CTXN3,0,0.445987308
DTNA.3,0,0.44593015
METTL24,0,0.445740313
RP11-566E18.1,0,0.445357877
RP11-103H7.2,0,0.445304496
MPP7.1,0,0.445277452
RP11-469N6.1,0,0.444905112
RP11-739N20.2,0,0.444803225
RP11-58K22.1.1,0,0.444762493
TNFSF13,0,0.444749519
R3HDM2,0,0.444726501
CLUL1,0,0.444690391
RP11-862G15.1,0,0.444668283
RP11-771K4.3,0,0.444595653
HIF3A.1,0,0.444374386
AC058791.1,0,0.444373057
MIR548F5,0,0.444342173
OR8Q1P,0,0.444191861
RNU2-63P,0,0.444122418
RP11-444J21.6,0,0.444108268
CELF6.1,0,0.444096445
DTNBP1,0,0.444092253
ADARB2,0,0.443951265
NKX1-1,0,0.443889101
RP11-569O4.8,0,0.443720556
RP11-676J12.8,0,0.443720393
AC087499.9,0,0.443690264
TRAJ49,0,0.443606976
RP11-443O13.3,0,0.44351114
AL845154.2,0,0.443392476
GREB1,0,0.443389513
IQSEC2.1,0,0.443203386
NPTN-IT1,0,0.443154334
CTA-31J9.2,0,0.443111756
VIPR2,0,0.442990165
IFLTD1.1,0,0.442774342
CTB-52I2.3,0,0.442643129
RP11-478J18.1,0,0.442622487
RP11-371A22.1,0,0.442473155
RASIP1.1,0,0.442280333
CTC-458I2.2,0,0.442206381
OR8B9P,0,0.442205084
CACNB2.2,0,0.442173056
RP3-330O12.5,0,0.442165515
MIR6788,0,0.442134558
ANKFN1,0,0.442123372
RP11-3J11.1,0,0.442100527
RP11-430C7.4,0,0.441978847
SPTAN1.1,0,0.44196747
STRA6.2,0,0.441740274
RP11-146P2.1,0,0.44158058
TNIP3.1,0,0.441577073
CTD-3006G17.2,0,0.441564614
IFNLR1,0,0.441368756
RNU6-1233P.1,0,0.441344825
ANKRD65,0,0.441183026
AC012593.1,0,0.441086944
RNU6-469P,0,0.440979915
RP11-700H6.4,0,0.440921254
NFIB,0,0.440750361
FTCDNL1.1,0,0.44070278
SH2D3C.1,0,0.440651865
MIR6129,0,0.440514181
RP11-65J3.15,0,0.440512996
ARHGEF15,0,0.4404783
PLOD2,0,0.44043425
RP13-401N8.7,0,0.440243876
MOV10L1,0,0.440183369
RP11-308N19.1,0,0.440161604
AC011286.1,0,0.439917886
XXbac-BPG32J3.18,0,0.439869286
RP11-234G16.5,0,0.439806577
RP11-521C20.3,0,0.439680395
RP11-174G17.3,0,0.439677421
AC005264.2,0,0.439620103
DGKD.1,0,0.439509638
NXNL2,0,0.43930879
RP11-486E2.1,0,0.439080059
RN7SL665P,0,0.439021055
RP11-830F9.7,0,0.43893912
ITPKB.1,0,0.438909208
CTD-3162L10.1,0,0.438872461
RP1-140K8.5,0,0.43876849
CDH2,0,0.438660941
APOBEC3A,0,0.438626033
RP11-740D6.3,0,0.438347982
RNU7-9P,0,0.438302637
UGT1A1,0,0.438282656
PGM1.1,0,0.438273916
ZNF423.1,0,0.438183766
ANGPT4,0,0.438139123
CMP21-T1230.1,0,0.438072111
NOL4,0,0.438042216
RP11-280O1.2,0,0.438012044
MEF2C,0,0.438010922
BRD7P1,0,0.437998178
OR2B11.1,0,0.437779809
XXyac-YM21GA2.3,0,0.43765892
RP5-981O7.2,0,0.437551822
RP11-429E11.3,0,0.437496337
AP000770.2,0,0.437428693
SERPINA12,0,0.437353302
RP11-348N5.7,0,0.437281412
EMP1,0,0.437227409
RP11-526P6.1,0,0.437184087
ZNF385B,0,0.437109643
PPFIA2.1,0,0.437076081
RP5-1086K13.1,0,0.437054422
RP11-618M23.3,0,0.436989992
RNA5SP53,0,0.436863296
AGT,0,0.436853228
RP11-290K4.1,0,0.436823935
PTK2.3,0,0.436714543
RP11-395B7.2,0,0.436712913
RP11-480C22.1,0,0.436628324
NNMT.1,0,0.436598844
LPL,0,0.436573879
RP11-543H12.1,0,0.436570267
LL09NC01-254D11.1,0,0.436521934
AC002511.3,0,0.436514094
AC007349.7,0,0.436391082
RP11-1018J8.3,0,0.436389732
CTB-186G2.1,0,0.436241275
RP1-130L23.1,0,0.436155969
MAP2K5.1,0,0.436025377
SNORA74C-1,0,0.435990775
NOS1,0,0.435818041
MEOX1,0,0.435675224
RP11-35J23.1,0,0.435555139
RP11-343H5.4,0,0.43549636
RP11-131L12.3,0,0.435460018
FOXP1.2,0,0.435428293
CTD-2536I1.1,0,0.435268131
RP11-409K20.6,0,0.435236532
MIR4720,0,0.435196205
TMEM40,0,0.435184815
WI2-2373I1.1,0,0.435124694
PRTN3,0,0.434962045
RP11-306O13.1,0,0.43483507
AC027601.1,0,0.434731091
BCAR3.1,0,0.434689674
RP11-757G1.5,0,0.434682838
AC093822.1.1,0,0.434650633
RP11-382A20.4,0,0.434561752
RP11-404O13.5,0,0.434531545
IL20,0,0.434477623
AC093726.6,0,0.43430158
PADI6,0,0.434301389
ARHGAP32.1,0,0.434264015
RP11-452L6.8,0,0.434217802
TMEM100,0,0.434203714
MAN1C1.1,0,0.434060359
RP4-736L20.4,0,0.433901189
IQSEC2,0,0.433873857
RF00019.2,0,0.433841068
RP11-295P9.3,0,0.433736331
CASQ1.1,0,0.433594231
C16orf62.1,0,0.433564497
ALOX5AP.1,0,0.433477594
ADORA2A,0,0.433402407
MIR4317,0,0.433297178
RP11-168A11.1,0,0.433286559
CREB5.2,0,0.433205532
RP1-186E20.2,0,0.433202773
MYLK2,0,0.433104863
KRT36,0,0.433097571
METTL7A,0,0.433083261
GRAMD1B.5,0,0.433034
AC073635.5.1,0,0.432989447
RP11-96L14.8,0,0.43297805
RP11-449J10.1,0,0.432976185
TRIM29,0,0.432940768
RP11-231N3.1,0,0.432923125
IFI44L,0,0.432878224
RGS20,0,0.432785203
SCG2,0,0.432693879
TSTD1,0,0.432670831
RP11-762H8.4,0,0.432570813
MAGI2.2,0,0.432531997
CTD-2224J9.8,0,0.432521949
GFRA3.1,0,0.432503453
FAP,0,0.432480169
TMEM237.1,0,0.432368737
CP,0,0.432329145
RP11-63A11.1,0,0.432268287
RP11-798K3.4,0,0.43226765
RP11-54C4.2,0,0.432203977
CROCCP3,0,0.432105731
RP11-61G23.2.1,0,0.432071623
RP11-275H4.1,0,0.432045907
RP3-357I16.1,0,0.431990494
BANF2,0,0.43197467
PLCH1.1,0,0.431893749
TRAJ52,0,0.431752742
MYLK3.1,0,0.431661166
RP11-218C14.6.1,0,0.431652842
RNU2-56P,0,0.431630889
MGP,0,0.431395122
SLC15A2,0,0.431369405
RP11-127O4.3,0,0.431322785
CTC-326K19.6,0,0.431277964
B3GNT3,0,0.431257666
RP11-442N1.1,0,0.431158045
ST7OT2.2,0,0.431141106
TRAJ38,0,0.431130534
GSG1,0,0.431117577
OPN3.1,0,0.43109318
RP11-1260E13.1,0,0.431061714
MIR4296.1,0,0.430961896
HBM,0,0.430915721
DBN1,0,0.43077708
RF02150,0,0.430722313
C16orf97.1,0,0.430692111
ARHGDIB,0,0.430678355
RNA5SP40,0,0.430649545
MIR34AHG,0,0.430621801
PCDHB11,0,0.430567216
RP11-63E5.8,0,0.430480221
C19orf76,0,0.430429654
RP11-767C1.2,0,0.430411103
CCL26,0,0.430252272
RP11-363P13.1.1,0,0.43019903
RP11-134N1.2,0,0.430156782
AP005135.2.1,0,0.430130746
SLFNL1,0,0.430129515
MSRA.1,0,0.430099826
CCDC149.1,0,0.430096195
AC012360.6,0,0.430088436
HBS1L,0,0.430065918
CTD-2377D24.6,0,0.429942546
CASQ1,0,0.42989478
KIF1B.2,0,0.429881555
TRBV6-6,0,0.429755891
SMIM19.1,0,0.429751166
SPI1,0,0.429712992
MCTP1,0,0.429669367
UBE2HP.1,0,0.429574383
PCK1,0,0.429560162
MSS51,0,0.429517483
MC2R,0,0.429467938
RP11-567J20.1,0,0.429421702
RFFL,0,0.429358415
RP11-340B18.1,0,0.429348223
BMPR1B.2,0,0.429340281
FAM163B,0,0.429261304
RP11-806J6.1,0,0.429235167
WI2-87327B8.1,0,0.429210098
PIK3R6.2,0,0.429188956
IL4I1,0,0.429110844
F11,0,0.429046511
RP11-353N4.5,0,0.429033569
C12orf79,0,0.429011647
SFTA2,0,0.428941473
RP11-474C8.3,0,0.428929092
IL19,0,0.428908611
RP3-523C21.1.1,0,0.428906067
RP11-138H8.2,0,0.428902097
BCOR.1,0,0.428874232
SLC27A3,0,0.428858027
PLCH1.2,0,0.428828946
ANK3.1,0,0.428787636
CAB39L,0,0.428670844
RP11-205K6.2.1,0,0.428607448
RP11-685A21.1,0,0.428563264
SNORA80D,0,0.428461859
PCA3.1,0,0.428460925
DNAH5,0,0.428360703
BTF3P14,0,0.428316033
CLNK,0,0.428254916
NPAS1,0,0.428226974
RP5-848E13.5,0,0.42821128
RP11-355N15.2,0,0.428026597
CCL19,0,0.428025369
GRB10.1,0,0.427946813
RP11-593B8.3,0,0.427862057
MIR1253,0,0.427803495
RF00019.53,0,0.427479438
ECM2,0,0.427422386
STAT4,0,0.427393222
RNU6-653P,0,0.427346263
SOX9-AS1.3,0,0.427344128
CTD-2647L4.5,0,0.42727895
OPRK1,0,0.42723938
ACP5.1,0,0.42705985
RP11-120K18.2,0,0.42701681
RP1-81D8.4,0,0.426861834
RP11-395I6.2,0,0.426849473
KIAA1456,0,0.426840486
SPATA31E1,0,0.426699144
PRR35,0,0.426681839
RP11-375A5.1,0,0.426671271
RP11-5K16.3,0,0.426589219
RP11-349J5.2,0,0.426509839
GPR26,0,0.426361397
IL6ST.1,0,0.426252886
RP11-439E19.7,0,0.426212121
